,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
1487,2023-01-08,GÜNDÜZ,A0007,18.0,7.17,Soket,DENIZ MAHSULLERİ,2023,1
1488,2023-02-16,GECE,A0028,11.67,4.12,Soket,PUNALI SOKET,2023,7
1489,2023-01-10,GECE,A0030,12.42,4.5,Soket,POLKA DOTA ANKLE BLUE,2023,2
1490,2023-02-12,GECE,A0035,7.5,2.525,Kısa Konç,KISAKONC,2023,6
1491,2023-01-24,GÜNDÜZ,A0034,11.0,0.0,Patik,CARERA PATİK,2023,4
1492,2023-01-02,GÜNDÜZ,A0025,10.17,3.78,Soket,FLAMINGO SOKET,2023,1
1493,2023-02-16,GÜNDÜZ,A0032,4.33,2.3,Soket,3P-TENİS HAVLU,2023,7
1494,2023-02-03,GÜNDÜZ,A0025,8.92,3.22,Kısa Konç,KISAKONC,2023,5
1495,2023-02-20,GECE,A0017,19.0,0.0,Patik,KOPEK PATİK,2023,8
1496,2023-02-07,GÜNDÜZ,A0034,11.0,0.0,Patik,CARERA PATİK,2023,6
1497,2023-02-13,GECE,A0024,12.67,2.15,Babet,DALMACYA  BABET,2023,7
1498,2023-01-04,GECE,A0031,15.67,2.75,Babet,3PK LOW CUT NO SHOW SOCKS,2023,1
1499,2023-01-16,GECE,A0014,15.25,5.5,Soket,2023-1,2023,3
1500,2023-01-25,GECE,A0033,10.33,1.89,Babet,2023-3,2023,4
1501,2023-02-20,GECE,A0011,24.08,4.28,Babet,KALPLI   BABET,2023,8
1502,2023-02-01,GÜNDÜZ,A0022,10.17,2.33,Patik,2023-2,2023,5
1503,2023-01-29,GECE,A0018,9.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,4
1504,2023-01-31,GECE,A0003,15.25,4.18,Patik,CODE 3P.XX SHORT,2023,5
1505,2023-02-07,GECE,A0008,5.83,1.05,Babet,KAMUFLAJ  BABET,2023,6
1506,2023-01-11,GECE,A0031,13.75,2.59,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
1507,2023-01-05,GÜNDÜZ,A0006,10.0,0.0,Patik,CARERA PATİK,2023,1
1508,2023-01-03,GÜNDÜZ,A0015,10.0,3.48,Soket,2023-1,2023,1
1509,2023-01-27,GÜNDÜZ,A0027,10.25,3.24,Kısa Konç,KISAKONC,2023,4
1510,2023-01-27,GÜNDÜZ,A0004,8.92,3.13,Kısa Konç,KISAKONC,2023,4
1511,2023-01-23,GECE,A0035,15.5,4.87,Patik,CODE 3P.XX SHORT,2023,4
1512,2023-02-09,GÜNDÜZ,A0021,10.17,3.04,Patik,KISAKONC SİM ÇEMBER,2023,6
1513,2023-01-18,GÜNDÜZ,A0009,11.67,2.85,Patik,CODE 3P.XX SHORT,2023,3
1514,2023-01-02,GECE,A0036,14.0,4.87,Soket,2023-1,2023,1
1515,2023-02-14,GECE,A0027,12.0,4.29,Soket,PUNALI SOKET,2023,7
1516,2023-01-31,GECE,A0036,11.42,5.38,Soket,SÜPERCITY TENIS,2023,5
1517,2023-02-13,GECE,A0031,6.92,1.2,Babet,BUYUK  YILDIZ BABET,2023,7
1518,2023-02-08,GECE,A0027,11.83,4.32,Soket,PUNALI SOKET,2023,6
1519,2023-01-23,GECE,A0008,14.17,2.92,Patik,2023-2,2023,4
1520,2023-01-12,GÜNDÜZ,A0003,8.42,2.86,Soket,3 LU DERBILI PURPLE/PINK,2023,2
1521,2023-02-06,GÜNDÜZ,A0011,9.58,1.62,Babet,2023-3,2023,6
1522,2023-02-17,GÜNDÜZ,A0025,6.0,0.0,Patik,CARERA PATİK,2023,7
1523,2023-01-30,GECE,A0032,3.17,1.98,Havlu,HAVLU TENIS,2023,5
1524,2023-01-27,GECE,A0024,12.92,2.3,Babet,2023-3,2023,4
1525,2023-01-27,GÜNDÜZ,A0025,9.0,3.17,Kısa Konç,KISAKONC,2023,4
1526,2023-02-09,GÜNDÜZ,A0020,20.08,7.34,Soket,CEMBERLI SOKET,2023,6
1527,2023-02-14,GÜNDÜZ,A0005,8.17,4.85,Soket,3P-TENİS HAVLU,2023,7
1528,2023-01-02,GECE,A0009,12.83,4.52,Soket,POLKA DOTA ANKLE BLUE,2023,1
1529,2023-01-13,GECE,A0004,14.92,3.56,Patik,2023-2,2023,2
1530,2023-01-16,GÜNDÜZ,A0025,7.83,2.42,Patik,CODE 3P.XX SHORT,2023,3
1531,2023-02-14,GÜNDÜZ,A0012,11.17,3.38,Patik,CODE 3P.XX SHORT,2023,7
1532,2023-01-17,GECE,A0003,12.0,4.12,Soket,RIB ANKLE PURPLE,2023,3
1533,2023-02-22,GÜNDÜZ,A0021,10.67,0.0,Patik,BEKLETME DESEN,2023,8
1534,2023-02-17,GECE,A0003,15.92,4.41,Patik,CODE 3P.XX SHORT,2023,7
1535,2023-01-05,GECE,A0014,11.83,4.57,Soket,DALLI   PAPTYA,2023,1
1536,2023-01-30,GÜNDÜZ,A0024,9.5,1.69,Babet,2023-3,2023,5
1537,2023-02-02,GÜNDÜZ,A0029,8.58,2.91,Soket,WHITE HEEL TOE ANKLE,2023,5
1538,2023-01-07,GECE,A0008,19.08,7.97,Soket,DENIZ MAHSULLERİ,2023,1
1539,2023-01-05,GECE,A0012,16.92,5.05,Kısa Konç,BRK-2,2023,1
1540,2023-02-16,GÜNDÜZ,A0010,5.08,1.27,Patik,CODE 3P.XX SHORT,2023,7
1541,2023-01-31,GÜNDÜZ,A0020,11.5,3.23,Patik,CODE 3P.XX SHORT,2023,5
1542,2023-01-26,GÜNDÜZ,A0017,13.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
1543,2023-02-14,GÜNDÜZ,A0015,10.92,3.42,Patik,CODE 3P.XX SHORT,2023,7
1544,2023-02-03,GECE,A0029,4.75,1.29,Patik,CODE 3P.XX SHORT,2023,5
1545,2023-02-03,GÜNDÜZ,A0016,9.25,3.26,Kısa Konç,KISAKONC,2023,5
1546,2023-02-05,GECE,A0009,28.33,6.35,Patik,D,2023,5
1547,2023-02-17,GÜNDÜZ,A0035,10.25,3.23,Patik,CODE 3P.XX SHORT,2023,7
1548,2023-01-30,GÜNDÜZ,A0035,10.83,3.31,Patik,CODE 3P.XX SHORT,2023,5
1549,2023-01-15,GÜNDÜZ,A0003,15.08,5.2,Soket,RIB ANKLE PURPLE,2023,2
1550,2023-02-05,GECE,A0030,21.83,6.98,Kısa Konç,KISAKONC,2023,5
1551,2023-02-01,GÜNDÜZ,A0015,8.92,3.14,Kısa Konç,KISAKONC,2023,5
1552,2023-02-22,GECE,A0014,16.08,3.76,Patik,WOMEN SCRET,2023,8
1553,2023-02-12,GECE,A0036,17.58,10.63,Soket,3P-TENİS HAVLU,2023,6
1554,2023-01-06,GÜNDÜZ,A0007,7.17,2.92,Soket,DENIZ MAHSULLERİ,2023,1
1555,2023-01-03,GÜNDÜZ,A0031,9.75,1.85,Babet,3PK LOW CUT NO SHOW SOCKS,2023,1
1556,2023-02-14,GÜNDÜZ,A0026,11.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
1557,2023-01-26,GÜNDÜZ,A0011,3.75,0.85,Patik,2023-2,2023,4
1558,2023-01-07,GECE,A0033,20.0,8.17,Soket,DENIZ MAHSULLERİ,2023,1
1559,2023-01-12,GÜNDÜZ,A0020,8.25,2.91,Soket,3 LU DERBILI PURPLE/PINK,2023,2
1560,2023-01-15,GÜNDÜZ,A0028,22.92,7.38,Soket,MANTAR DESEN,2023,2
1561,2023-01-17,GECE,A0007,12.5,2.69,Patik,2023-2,2023,3
1562,2023-01-26,GÜNDÜZ,A0019,10.92,3.2,Kısa Konç,KISAKONC,2023,4
1563,2023-02-01,GECE,A0033,13.58,2.57,Babet,2023-3,2023,5
1564,2023-02-09,GÜNDÜZ,A0027,6.92,2.48,Soket,PUNALI SOKET,2023,6
1565,2023-02-01,GECE,A0032,5.17,2.98,Havlu,HAVLU TENIS,2023,5
1566,2023-02-01,GECE,A0018,19.0,0.0,Patik,KARE SIMLI PATİK,2023,5
1567,2023-01-25,GECE,A0014,14.0,4.31,Patik,CODE 3P.XX SHORT,2023,4
1568,2023-02-20,GÜNDÜZ,A0015,10.75,3.36,Patik,CODE 3P.XX SHORT,2023,8
1569,2023-02-20,GECE,A0036,11.08,5.89,Soket,3P-TENİS HAVLU,2023,8
1570,2023-01-05,GECE,A0022,13.5,4.53,Soket,2023-1,2023,1
1571,2023-01-16,GECE,A0020,8.58,2.97,Soket,RIB ANKLE PURPLE,2023,3
1572,2023-01-04,GECE,A0009,33.25,12.56,Soket,POLKA DOTA ANKLE BLUE,2023,1
1573,2023-02-02,GÜNDÜZ,A0001,8.0,2.66,Soket,WHITE HEEL TOE ANKLE,2023,5
1574,2023-02-21,GECE,A0012,16.42,5.07,Patik,CODE 3P.XX SHORT,2023,8
1575,2023-02-09,GECE,A0016,16.17,5.02,Patik,CODE 3P.XX SHORT,2023,6
1576,2023-01-08,GÜNDÜZ,A0008,17.42,7.27,Soket,DENIZ MAHSULLERİ,2023,1
1577,2023-01-11,GÜNDÜZ,A0003,8.08,2.74,Soket,3 LU DERBILI PURPLE/PINK,2023,2
1578,2023-02-01,GECE,A0001,12.25,4.27,Soket,WHITE HEEL TOE ANKLE,2023,5
1579,2023-01-27,GECE,A0013,14.17,4.96,Patik,CODE 3P.XX SHORT,2023,4
1580,2023-01-30,GÜNDÜZ,A0022,10.5,2.39,Patik,2023-2,2023,5
1581,2023-02-22,GECE,A0026,3.0,0.0,Patik,KOPEK PATİK,2023,8
1582,2023-01-25,GÜNDÜZ,A0030,10.17,2.76,Patik,CODE 3P.XX SHORT,2023,4
1583,2023-01-11,GECE,A0001,16.58,3.91,Soket,POLKA DOTA TRAINER BLUE,2023,2
1584,2023-02-09,GECE,A0007,14.0,2.39,Babet,CEMBERLI BABET,2023,6
1585,2023-02-06,GÜNDÜZ,A0024,9.58,1.72,Babet,NOKTALI  BABET,2023,6
1586,2023-01-18,GECE,A0015,4.17,0.0,Soket,2023-1,2023,3
1587,2023-02-09,GECE,A0003,15.58,4.35,Patik,CODE 3P.XX SHORT,2023,6
1588,2023-02-16,GÜNDÜZ,A0007,6.83,1.13,Babet,2023-3,2023,7
1589,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
1590,2023-01-19,GECE,A0003,11.75,4.03,Soket,RIB ANKLE PURPLE,2023,3
1591,2023-02-03,GECE,A0016,15.25,5.39,Kısa Konç,KISAKONC,2023,5
1592,2023-02-20,GECE,A0009,26.75,5.7,Patik,KABARTMA EKOSE,2023,8
1593,2023-02-07,GECE,A0005,11.67,6.82,Soket,3P-TENİS HAVLU,2023,6
1594,2023-01-27,GECE,A0031,13.75,2.45,Babet,2023-3,2023,4
1595,2023-02-14,GÜNDÜZ,A0014,10.42,3.21,Patik,CODE 3P.XX SHORT,2023,7
1596,2023-02-02,GÜNDÜZ,A0015,9.58,3.3,Kısa Konç,KISAKONC,2023,5
1597,2023-01-07,GECE,A0032,21.58,8.49,Soket,DALSIZ PAPTYA,2023,1
1598,2023-02-08,GÜNDÜZ,A0031,9.5,1.63,Babet,BUYUK  YILDIZ BABET,2023,6
1599,2023-01-17,GECE,A0020,11.58,4.1,Soket,RIB ANKLE PURPLE,2023,3
1600,2023-01-03,GÜNDÜZ,A0003,8.0,2.82,Soket,3 LU DERBILI PURPLE/PINK,2023,1
1601,2023-01-02,GECE,A0029,11.58,4.58,Soket,FLORAL ANKLE,2023,1
1602,2023-01-24,GÜNDÜZ,A0014,10.75,3.26,Patik,CODE 3P.XX SHORT,2023,4
1603,2023-02-06,GÜNDÜZ,A0012,10.25,3.5,Kısa Konç,KISAKONC,2023,6
1604,2023-02-17,GÜNDÜZ,A0020,8.5,3.11,Soket,CEMBERLI SOKET,2023,7
1605,2023-01-18,GECE,A0020,5.08,1.8,Soket,RIB ANKLE PURPLE,2023,3
1606,2023-01-10,GÜNDÜZ,A0031,9.17,1.74,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
1607,2023-01-10,GÜNDÜZ,A0036,10.25,3.52,Soket,2023-1,2023,2
1608,2023-01-24,GECE,A0013,14.75,4.66,Patik,CODE 3P.XX SHORT,2023,4
1609,2023-01-12,GECE,A0022,12.33,2.89,Patik,2023-2,2023,2
1610,2023-02-20,GÜNDÜZ,A0024,9.17,1.61,Babet,2023-3,2023,8
1611,2023-02-15,GECE,A0005,19.25,11.33,Soket,3P-TENİS HAVLU,2023,7
1612,2023-02-14,GÜNDÜZ,A0013,10.5,3.33,Patik,CODE 3P.XX SHORT,2023,7
1613,2023-01-09,GÜNDÜZ,A0030,8.5,3.0,Soket,POLKA DOTA ANKLE BLUE,2023,2
1614,2023-01-25,GÜNDÜZ,A0013,7.5,2.46,Patik,CODE 3P.XX SHORT,2023,4
1615,2023-01-11,GECE,A0004,12.08,4.65,Soket,TEK  PAPTYA,2023,2
1616,2023-02-21,GÜNDÜZ,A0001,8.5,2.85,Soket,KALPLI SOKET,2023,8
1617,2023-01-04,GECE,A0015,23.25,8.23,Soket,2023-1,2023,1
1618,2023-01-16,GECE,A0021,17.58,4.31,Patik,CODE 3P.XX SHORT,2023,3
1619,2023-01-02,GECE,A0035,11.0,0.0,Soket,TEK ARI,2023,1
1620,2023-01-23,GÜNDÜZ,A0005,10.83,2.51,Patik,2023-2,2023,4
1621,2023-01-12,GÜNDÜZ,A0010,8.67,2.9,Soket,DALMACYA RENKLI,2023,2
1622,2023-02-05,GECE,A0004,3.75,1.35,Kısa Konç,KISAKONC,2023,5
1623,2023-02-17,GECE,A0033,0.17,0.0,Babet,ZIGZAG   BABET,2023,7
1624,2023-02-14,GECE,A0022,13.83,3.0,Patik,2023-2,2023,7
1625,2023-02-12,GECE,A0007,23.0,4.02,Babet,CEMBERLI BABET,2023,6
1626,2023-02-22,GÜNDÜZ,A0018,5.0,0.0,Patik,SİM CEMBER PATİK,2023,8
1627,2023-01-05,GECE,A0015,13.25,4.64,Soket,2023-1,2023,1
1628,2023-02-20,GECE,A0006,13.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1629,2023-01-25,GECE,A0017,16.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
1630,2023-01-30,GÜNDÜZ,A0001,13.92,4.25,Kısa Konç,KISAKONC,2023,5
1631,2023-01-05,GÜNDÜZ,A0029,6.5,2.6,Soket,FLORAL ANKLE,2023,1
1632,2023-02-14,GECE,A0028,12.33,4.29,Soket,PUNALI SOKET,2023,7
1633,2023-02-09,GÜNDÜZ,A0009,10.92,2.27,Patik,D,2023,6
1634,2023-02-17,GECE,A0012,16.42,4.97,Patik,CODE 3P.XX SHORT,2023,7
1635,2023-02-06,GECE,A0007,14.5,2.47,Babet,CEMBERLI BABET,2023,6
1636,2023-02-13,GECE,A0003,16.17,4.46,Patik,CODE 3P.XX SHORT,2023,7
1637,2023-01-02,GÜNDÜZ,A0007,9.17,3.72,Soket,DENIZ MAHSULLERİ,2023,1
1638,2023-01-05,GECE,A0021,11.75,4.4,Soket,FLORAL ANKLE,2023,1
1639,2023-02-21,GECE,A0001,12.75,4.29,Soket,KALPLI SOKET,2023,8
1640,2023-01-17,GÜNDÜZ,A0016,10.58,3.67,Soket,2023-1,2023,3
1641,2023-02-08,GÜNDÜZ,A0018,4.0,0.0,Patik,KARE SIMLI PATİK,2023,6
1642,2023-01-04,GECE,A0002,30.83,12.23,Soket,FLORAL ANKLE,2023,1
1643,2023-01-30,GECE,A0031,13.92,2.46,Babet,2023-3,2023,5
1644,2023-01-11,GECE,A0013,11.33,4.55,Soket,EKRU ÇOK ARI,2023,2
1645,2023-01-12,GECE,A0024,13.58,3.05,Patik,2023-2,2023,2
1646,2023-01-31,GÜNDÜZ,A0004,10.25,3.65,Kısa Konç,KISAKONC,2023,5
1647,2023-01-05,GECE,A0003,11.5,4.05,Soket,3 LU DERBILI PURPLE/PINK,2023,1
1648,2023-01-22,GECE,A0002,12.92,5.1,Soket,FLORAL ANKLE,2023,3
1649,2023-01-10,GÜNDÜZ,A0005,8.17,3.15,Soket,MAVI COKLU ARI,2023,2
1650,2023-01-12,GECE,A0019,9.67,3.46,Soket,RIB ANKLE PURPLE,2023,2
1651,2023-01-29,GECE,A0017,30.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,4
1652,2023-02-21,GECE,A0004,10.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
1653,2023-01-04,GECE,A0017,43.0,0.0,Kısa Konç,TUBE CEMBERLI ,2023,1
1654,2023-01-05,GECE,A0034,14.0,0.0,Patik,CARERA PATİK,2023,1
1655,2023-01-19,GÜNDÜZ,A0019,8.17,2.83,Soket,RIB ANKLE PURPLE,2023,3
1656,2023-02-13,GÜNDÜZ,A0021,4.17,1.25,Patik,KISAKONC SİM ÇEMBER,2023,7
1657,2023-01-10,GECE,A0012,14.33,5.05,Soket,2023-1,2023,2
1658,2023-01-26,GÜNDÜZ,A0021,8.42,4.86,Kısa Konç,KISAKONC,2023,4
1659,2023-02-07,GECE,A0027,15.67,5.55,Soket,PUNALI SOKET,2023,6
1660,2023-02-09,GECE,A0005,11.25,6.6,Soket,3P-TENİS HAVLU,2023,6
1661,2023-01-29,GECE,A0016,24.58,8.69,Kısa Konç,KISAKONC,2023,4
1662,2023-01-11,GÜNDÜZ,A0012,5.42,1.8,Soket,2023-1,2023,2
1663,2023-02-14,GECE,A0013,15.42,4.95,Patik,CODE 3P.XX SHORT,2023,7
1664,2023-01-11,GÜNDÜZ,A0014,8.17,3.13,Soket,DALLI   PAPTYA,2023,2
1665,2023-01-29,GECE,A0032,6.92,4.11,Soket,3P-TENİS HAVLU,2023,4
1666,2023-01-19,GECE,A0008,14.92,3.04,Patik,2023-2,2023,3
1667,2023-01-03,GÜNDÜZ,A0012,8.25,3.11,Soket,3 LU DERBI CEMBERLI ,2023,1
1668,2023-01-26,GÜNDÜZ,A0013,10.33,3.43,Patik,CODE 3P.XX SHORT,2023,4
1669,2023-01-20,GÜNDÜZ,A0020,7.25,2.56,Soket,RIB ANKLE PURPLE,2023,3
1670,2023-01-29,GECE,A0011,20.25,3.45,Babet,2023-3,2023,4
1671,2023-02-21,GÜNDÜZ,A0025,10.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1672,2023-01-18,GECE,A0023,11.0,2.62,Patik,2023-2,2023,3
1673,2023-01-27,GECE,A0030,15.42,4.8,Kısa Konç,KISAKONC,2023,4
1674,2023-02-03,GECE,A0026,11.0,0.0,Patik,KARE SIMLI PATİK,2023,5
1675,2023-01-10,GECE,A0002,11.67,4.57,Soket,FLORAL ANKLE,2023,2
1676,2023-01-16,GECE,A0001,10.17,2.71,Soket,EDGE FRIIL,2023,3
1677,2023-02-07,GÜNDÜZ,A0031,6.75,1.12,Babet,BUYUK  YILDIZ BABET,2023,6
1678,2023-01-23,GECE,A0031,13.5,2.38,Babet,2023-3,2023,4
1679,2023-02-21,GÜNDÜZ,A0027,3.5,1.21,Soket,PUNALI SOKET,2023,8
1680,2023-02-20,GECE,A0018,18.0,0.0,Patik,SİM CEMBER PATİK,2023,8
1681,2023-02-17,GECE,A0018,19.0,0.0,Patik,DERBILI NOKTALI,2023,7
1682,2023-01-12,GECE,A0009,13.42,3.2,Soket,POLKA DOTA TRAINER BLUE,2023,2
1683,2023-02-12,GECE,A0023,16.67,3.56,Patik,2023-2,2023,6
1684,2023-01-10,GÜNDÜZ,A0032,8.08,3.1,Soket,DALSIZ PAPTYA,2023,2
1685,2023-01-18,GECE,A0014,15.33,5.49,Soket,2023-1,2023,3
1686,2023-01-10,GÜNDÜZ,A0002,8.08,3.11,Soket,FLORAL ANKLE,2023,2
1687,2023-02-13,GÜNDÜZ,A0006,12.0,0.0,Patik,CARERA PATİK,2023,7
1688,2023-02-02,GECE,A0003,15.42,4.31,Patik,CODE 3P.XX SHORT,2023,5
1689,2023-02-15,GECE,A0035,23.33,7.2,Patik,CODE 3P.XX SHORT,2023,7
1690,2023-01-11,GECE,A0022,14.0,3.31,Patik,2023-2,2023,2
1691,2023-01-16,GÜNDÜZ,A0030,11.42,2.62,Soket,POLKA DOTA TRAINER BLUE,2023,3
1692,2023-01-26,GÜNDÜZ,A0027,9.0,2.88,Kısa Konç,KISAKONC,2023,4
1693,2023-02-20,GECE,A0008,20.75,10.8,Soket,3P-TENİS HAVLU,2023,8
1694,2023-02-14,GÜNDÜZ,A0022,10.25,2.2,Patik,2023-2,2023,7
1695,2023-02-06,GÜNDÜZ,A0036,3.17,1.48,Soket,SÜPERCITY TENIS,2023,6
1696,2023-02-17,GÜNDÜZ,A0030,8.42,3.03,Soket,KALPLI SOKET,2023,7
1697,2023-02-12,GECE,A0005,17.92,10.6,Soket,3P-TENİS HAVLU,2023,6
1698,2023-01-19,GECE,A0023,14.67,3.5,Patik,2023-2,2023,3
1699,2023-01-31,GÜNDÜZ,A0006,10.0,0.0,Patik,CARERA PATİK,2023,5
1700,2023-01-31,GÜNDÜZ,A0019,10.33,2.24,Patik,BAYAN KONC SIMLI CEMBER,2023,5
1701,2023-02-05,GECE,A0008,18.67,3.45,Babet,KAMUFLAJ  BABET,2023,5
1702,2023-02-17,GECE,A0014,16.25,5.12,Patik,CODE 3P.XX SHORT,2023,7
1703,2023-02-20,GECE,A0019,29.0,5.98,Patik,CEMBERLI PATIK,2023,8
1704,2023-02-13,GECE,A0021,20.33,3.98,Patik,KDK CEMBER,2023,7
1705,2023-01-10,GECE,A0021,12.17,4.54,Soket,FLORAL ANKLE,2023,2
1706,2023-01-19,GÜNDÜZ,A0002,1.33,0.5,Soket,FLORAL ANKLE,2023,3
1707,2023-01-12,GÜNDÜZ,A0008,8.0,3.3,Soket,DENIZ MAHSULLERİ,2023,2
1708,2023-01-25,GECE,A0015,15.0,4.54,Patik,CODE 3P.XX SHORT,2023,4
1709,2023-02-08,GECE,A0025,2.5,0.77,Patik,CODE 3P.XX SHORT,2023,6
1710,2023-02-17,GÜNDÜZ,A0011,9.17,1.57,Babet,KALPLI   BABET,2023,7
1711,2023-01-11,GÜNDÜZ,A0028,6.67,2.11,Soket,MANTAR DESEN,2023,2
1712,2023-02-20,GECE,A0027,12.17,4.3,Soket,PUNALI SOKET,2023,8
1713,2023-02-06,GÜNDÜZ,A0034,9.0,0.0,Patik,CARERA PATİK,2023,6
1714,2023-02-12,GECE,A0022,24.75,5.4,Patik,2023-2,2023,6
1715,2023-01-20,GECE,A0034,11.0,0.0,Patik,CARERA PATİK,2023,3
1716,2023-02-22,GECE,A0006,12.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1717,2023-02-20,GECE,A0007,11.25,1.87,Babet,2023-3,2023,8
1718,2023-01-18,GECE,A0011,14.42,3.37,Patik,2023-2,2023,3
1719,2023-02-20,GÜNDÜZ,A0001,3.0,0.0,Soket,KALPLI SOKET,2023,8
1720,2023-02-09,GECE,A0018,19.0,0.0,Patik,DERBILI NOKTALI,2023,6
1721,2023-02-22,GECE,A0034,1.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1722,2023-02-03,GÜNDÜZ,A0003,9.17,2.56,Patik,CODE 3P.XX SHORT,2023,5
1723,2023-01-19,GECE,A0022,14.92,3.46,Patik,2023-2,2023,3
1724,2023-01-25,GÜNDÜZ,A0020,11.25,3.07,Patik,CODE 3P.XX SHORT,2023,4
1725,2023-02-08,GECE,A0013,15.58,4.81,Patik,CODE 3P.XX SHORT,2023,6
1726,2023-02-21,GECE,A0034,6.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1727,2023-01-08,GÜNDÜZ,A0028,20.17,6.38,Soket,MANTAR DESEN,2023,1
1728,2023-01-29,GECE,A0028,27.42,8.65,Kısa Konç,KISAKONC,2023,4
1729,2023-01-08,GÜNDÜZ,A0025,14.42,5.63,Soket,TEK ARI,2023,1
1730,2023-02-02,GECE,A0018,17.0,0.0,Patik,KARE SIMLI PATİK,2023,5
1731,2023-01-20,GECE,A0021,16.67,4.32,Patik,CODE 3P.XX SHORT,2023,3
1732,2023-02-09,GECE,A0013,14.58,4.66,Patik,CODE 3P.XX SHORT,2023,6
1733,2023-01-23,GECE,A0036,11.25,4.63,Soket,BRETTY KARAKTER,2023,4
1734,2023-02-21,GECE,A0033,8.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
1735,2023-01-26,GÜNDÜZ,A0015,14.42,5.15,Kısa Konç,KISAKONC,2023,4
1736,2023-02-01,GÜNDÜZ,A0030,11.08,3.45,Kısa Konç,KISAKONC,2023,5
1737,2023-02-17,GECE,A0015,15.67,4.96,Patik,CODE 3P.XX SHORT,2023,7
1738,2023-02-07,GÜNDÜZ,A0007,1.0,0.0,Babet,CEMBERLI BABET,2023,6
1739,2023-02-02,GECE,A0004,14.83,5.29,Kısa Konç,KISAKONC,2023,5
1740,2023-02-06,GÜNDÜZ,A0016,10.17,3.63,Kısa Konç,KISAKONC,2023,6
1741,2023-01-13,GÜNDÜZ,A0025,7.17,2.75,Soket,EKRU ÇOK ARI,2023,2
1742,2023-01-18,GECE,A0015,14.17,4.43,Patik,CODE 3P.XX SHORT,2023,3
1743,2023-02-12,GECE,A0003,24.58,6.8,Patik,CODE 3P.XX SHORT,2023,6
1744,2023-02-14,GÜNDÜZ,A0002,8.17,2.95,Soket,KALPLI SOKET,2023,7
1745,2023-01-09,GECE,A0022,14.5,5.1,Soket,2023-1,2023,2
1746,2023-02-20,GÜNDÜZ,A0013,10.25,3.21,Patik,CODE 3P.XX SHORT,2023,8
1747,2023-01-29,GECE,A0013,24.17,8.29,Patik,CODE 3P.XX SHORT,2023,4
1748,2023-02-13,GÜNDÜZ,A0001,9.75,3.4,Soket,KALPLI SOKET,2023,7
1749,2023-02-22,GÜNDÜZ,A0025,9.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
1750,2023-02-10,GECE,A0014,25.67,7.92,Patik,CODE 3P.XX SHORT,2023,6
1751,2023-02-16,GECE,A0033,13.92,2.49,Babet,ZIGZAG   BABET,2023,7
1752,2023-01-24,GECE,A0017,17.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,4
1753,2023-01-02,GÜNDÜZ,A0016,13.25,3.89,Kısa Konç,BRK-2,2023,1
1754,2023-01-18,GÜNDÜZ,A0005,8.17,3.14,Soket,MAVI COKLU ARI,2023,3
1755,2023-01-06,GECE,A0029,9.58,3.89,Soket,FLORAL ANKLE,2023,1
1756,2023-01-12,GECE,A0008,12.17,4.9,Soket,DENIZ MAHSULLERİ,2023,2
1757,2023-01-25,GECE,A0009,16.33,4.29,Patik,CODE 3P.XX SHORT,2023,4
1758,2023-02-02,GÜNDÜZ,A0011,8.92,1.49,Babet,2023-3,2023,5
1759,2023-02-07,GECE,A0026,18.0,0.0,Patik,KARE SIMLI PATİK,2023,6
1760,2023-01-23,GÜNDÜZ,A0013,11.08,3.61,Patik,CODE 3P.XX SHORT,2023,4
1761,2023-02-13,GÜNDÜZ,A0017,13.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
1762,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
1763,2023-01-06,GECE,A0024,11.17,4.31,Soket,FLAMINGO SOKET,2023,1
1764,2023-01-15,GÜNDÜZ,A0009,6.75,1.7,Patik,CODE 3P.XX SHORT,2023,2
1765,2023-01-20,GÜNDÜZ,A0036,6.67,3.1,Soket,KÜÇÜK  KALP,2023,3
1766,2023-01-18,GECE,A0018,18.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
1767,2023-02-06,GECE,A0021,15.0,4.52,Patik,KISAKONC SİM ÇEMBER,2023,6
