,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
117,2023-02-06,GÜNDÜZ,A0022,9.83,2.34,Patik,2023-2,2023,6
118,2023-01-13,GÜNDÜZ,A0015,9.17,3.31,Soket,2023-1,2023,2
119,2023-01-02,GÜNDÜZ,A0029,9.75,3.85,Soket,FLORAL ANKLE,2023,1
120,2023-02-21,GECE,A0007,9.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
121,2023-01-31,GÜNDÜZ,A0012,10.75,3.22,Patik,CODE 3P.XX SHORT,2023,5
122,2023-01-05,GÜNDÜZ,A0033,7.33,2.99,Soket,DENIZ MAHSULLERİ,2023,1
123,2023-01-10,GÜNDÜZ,A0025,8.0,2.98,Soket,TEK ARI,2023,2
124,2023-02-05,GECE,A0029,28.83,7.84,Patik,CODE 3P.XX SHORT,2023,5
125,2023-01-18,GECE,A0019,12.08,4.17,Soket,RIB ANKLE PURPLE,2023,3
126,2023-01-31,GECE,A0024,11.75,2.12,Babet,NOKTALI  BABET,2023,5
127,2023-01-06,GECE,A0023,14.58,5.21,Soket,2023-1,2023,1
128,2023-02-07,GÜNDÜZ,A0011,6.83,1.23,Babet,CEMBERLI BABET,2023,6
129,2023-02-20,GECE,A0010,30.17,7.65,Patik,CODE 3P.XX SHORT,2023,8
130,2023-01-10,GÜNDÜZ,A0028,8.42,2.7,Soket,MANTAR DESEN,2023,2
131,2023-01-16,GÜNDÜZ,A0017,9.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
132,2023-01-10,GECE,A0010,4.33,1.5,Soket,DALMACYA RENKLI,2023,2
133,2023-02-02,GÜNDÜZ,A0034,12.0,0.0,Patik,CARERA PATİK,2023,5
134,2023-01-13,GECE,A0029,17.42,4.23,Patik,CODE 3P.XX SHORT,2023,2
135,2023-02-22,GECE,A0016,16.5,5.23,Patik,CODE 3P.XX SHORT,2023,8
136,2023-01-17,GÜNDÜZ,A0013,7.75,2.4,Patik,CODE 3P.XX SHORT,2023,3
137,2023-01-24,GÜNDÜZ,A0003,10.83,2.97,Patik,CODE 3P.XX SHORT,2023,4
138,2023-02-03,GÜNDÜZ,A0010,7.08,2.38,Soket,WHITE HEEL TOE ANKLE,2023,5
139,2023-01-06,GÜNDÜZ,A0009,7.92,2.87,Soket,POLKA DOTA ANKLE BLUE,2023,1
140,2023-01-07,GECE,A0023,26.08,9.58,Soket,2023-1,2023,1
141,2023-02-07,GÜNDÜZ,A0026,5.0,0.0,Patik,KARE SIMLI PATİK,2023,6
142,2023-01-09,GECE,A0035,11.92,4.72,Soket,TEK ARI,2023,2
143,2023-01-27,GECE,A0028,15.08,4.8,Kısa Konç,KISAKONC,2023,4
144,2023-01-11,GECE,A0024,11.25,2.53,Patik,2023-2,2023,2
145,2023-01-10,GECE,A0036,16.67,5.36,Soket,2023-1,2023,2
146,2023-02-20,GECE,A0027,20.75,7.53,Soket,PUNALI SOKET,2023,8
147,2023-01-11,GECE,A0021,12.08,4.36,Soket,FLORAL ANKLE,2023,2
148,2023-01-18,GECE,A0027,16.42,4.27,Patik,CODE 3P.XX SHORT,2023,3
149,2023-01-13,GÜNDÜZ,A0030,9.5,2.23,Soket,POLKA DOTA TRAINER BLUE,2023,2
150,2023-02-06,GECE,A0034,15.0,0.0,Patik,CARERA PATİK,2023,6
151,2023-02-02,GECE,A0035,16.08,4.99,Patik,CODE 3P.XX SHORT,2023,5
152,2023-02-20,GECE,A0035,28.08,8.67,Patik,CODE 3P.XX SHORT,2023,8
153,2023-02-02,GÜNDÜZ,A0031,9.17,1.62,Babet,2023-3,2023,5
154,2023-01-02,GÜNDÜZ,A0001,9.58,3.59,Soket,POLKA DOTA ANKLE BLUE,2023,1
155,2023-02-20,GECE,A0026,15.0,0.0,Patik,KOPEK PATİK,2023,8
156,2023-01-05,GÜNDÜZ,A0002,8.17,3.14,Soket,FLORAL ANKLE,2023,1
157,2023-01-03,GÜNDÜZ,A0011,11.08,3.41,Kısa Konç,BRK-2,2023,1
158,2023-01-30,GECE,A0014,14.25,5.08,Kısa Konç,KISAKONC,2023,5
159,2023-01-22,GECE,A0023,23.75,5.64,Patik,2023-2,2023,3
160,2023-02-13,GÜNDÜZ,A0036,9.25,5.52,Soket,3P-TENİS HAVLU,2023,7
161,2023-02-20,GECE,A0009,16.0,3.56,Patik,KABARTMA EKOSE,2023,8
162,2023-02-03,GECE,A0021,14.75,4.1,Patik,KISAKONC SİM ÇEMBER,2023,5
163,2023-01-09,GECE,A0024,11.92,4.59,Soket,FLAMINGO SOKET,2023,2
164,2023-01-06,GÜNDÜZ,A0012,10.67,3.23,Kısa Konç,BRK-2,2023,1
165,2023-01-31,GECE,A0008,14.67,2.7,Babet,KAMUFLAJ  BABET,2023,5
166,2023-02-01,GECE,A0004,14.92,5.26,Kısa Konç,KISAKONC,2023,5
167,2023-01-03,GÜNDÜZ,A0001,8.58,3.13,Soket,POLKA DOTA ANKLE BLUE,2023,1
168,2023-02-02,GECE,A0025,15.08,5.41,Kısa Konç,KISAKONC,2023,5
169,2023-02-07,GÜNDÜZ,A0014,10.08,3.57,Kısa Konç,KISAKONC,2023,6
170,2023-01-27,GECE,A0027,16.67,5.2,Kısa Konç,KISAKONC,2023,4
171,2023-02-13,GÜNDÜZ,A0020,10.17,3.69,Soket,CEMBERLI SOKET,2023,7
172,2023-02-05,GECE,A0017,29.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,5
173,2023-01-03,GÜNDÜZ,A0016,10.17,3.01,Kısa Konç,BRK-2,2023,1
174,2023-01-22,GECE,A0016,25.67,8.07,Patik,CODE 3P.XX SHORT,2023,3
175,2023-01-30,GÜNDÜZ,A0029,10.5,3.23,Kısa Konç,KISAKONC,2023,5
176,2023-01-25,GÜNDÜZ,A0026,0.08,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
177,2023-01-23,GECE,A0019,16.17,4.66,Kısa Konç,KISAKONC,2023,4
178,2023-02-14,GÜNDÜZ,A0017,7.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
179,2023-01-15,GÜNDÜZ,A0009,19.25,4.57,Soket,POLKA DOTA TRAINER BLUE,2023,2
180,2023-01-25,GECE,A0012,16.5,4.97,Patik,CODE 3P.XX SHORT,2023,4
181,2023-01-08,GÜNDÜZ,A0014,9.67,3.69,Soket,DALLI   PAPTYA,2023,1
182,2023-02-03,GECE,A0011,13.75,2.33,Babet,2023-3,2023,5
183,2023-02-03,GÜNDÜZ,A0026,9.0,0.0,Patik,KARE SIMLI PATİK,2023,5
184,2023-02-17,GÜNDÜZ,A0036,6.42,3.42,Soket,3P-TENİS HAVLU,2023,7
