Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 20.Feb.2023,GECE,A0023,KAMUFLAJ PATIK,14.42,3.710,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0019,CEMBERLI PATIK,6.00,0.000,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0012,CODE 3P.XX SHORT,11.00,3.460,PATİK
 20.Feb.2023,GECE,A0014,CODE 3P.XX SHORT,28.00,8.990,PATİK
 20.Feb.2023,GECE,A0004,CARERA PATİK,22.00,0.000,ERKEK PATİK
 20.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,8.08,2.830,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0017,KOPEK PATİK,12.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0019,CEMBERLI PATIK,18.17,3.750,BAYAN PATİK
 20.Feb.2023,GECE,A0025,TAM HAVLU KISA SOKET,10.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GECE,A0028,PUNALI SOKET,2.33,0.750,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0031,DERBILI HAVLU DİZALTI,10.00,0.000,HAVLU DİZALTI
 20.Feb.2023,GECE,A0028,PUNALI SOKET,9.42,3.330,BAYAN SOKET
 20.Feb.2023,GECE,A0034,CARERA PATİK,14.00,0.000,ERKEK PATİK
 20.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,8.08,4.210,SOKET TENİS
 20.Feb.2023,GÜNDÜZ,A0026,KOPEK PATİK,13.00,0.000,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0023,KAMUFLAJ PATIK,8.17,2.120,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,4.75,1.610,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0009,KABARTMA EKOSE,9.83,2.210,BAYAN PATİK
 20.Feb.2023,GECE,A0030,KALPLI SOKET,12.17,4.220,BAYAN SOKET
 20.Feb.2023,GECE,A0007,2023-3,23.50,3.850,BAYAN BAMBU BABET
 20.Feb.2023,GECE,A0018,DERBILI NOKTALI,34.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0029,PUNALI SOKET,19.25,7.590,BAYAN SOKET
 20.Feb.2023,GECE,A0035,CODE 3P.XX SHORT,16.17,5.040,PATİK
 20.Feb.2023,GECE,A0002,KALPLI SOKET,12.92,4.480,BAYAN SOKET
 20.Feb.2023,GECE,A0020,CEMBERLI SOKET,14.08,4.780,BAYAN SOKET
 20.Feb.2023,GECE,A0017,KOPEK PATİK,17.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0032,DERBILI HAVLU DİZALTI,7.00,0.000,HAVLU DİZALTI
 20.Feb.2023,GECE,A0004,TAM HAVLU KISA SOKET,6.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GECE,A0020,BAYAN SOKET DUZ,12.33,4.450,BAYAN SOKET
 20.Feb.2023,GECE,A0031,3P-TENİS HAVLU,18.75,9.970,SOKET TENİS
 20.Feb.2023,GECE,A0029,PUNALI SOKET,3.00,1.090,BAYAN SOKET
 20.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,16.67,4.220,PATİK
 20.Feb.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,10.25,3.210,PATİK
 20.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,3.00,0.000,BAYAN SOKET
 20.Feb.2023,GECE,A0007,2023-3,11.25,1.870,BAYAN BAMBU BABET
 20.Feb.2023,GECE,A0027,PUNALI SOKET,12.17,4.300,BAYAN SOKET
 20.Feb.2023,GECE,A0019,CEMBERLI PATIK,29.00,5.980,BAYAN PATİK
 20.Feb.2023,GECE,A0008,3P-TENİS HAVLU,20.75,10.800,SOKET TENİS
 20.Feb.2023,GECE,A0018,SİM CEMBER PATİK,18.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0006,TAM HAVLU KISA SOKET,13.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GÜNDÜZ,A0024,2023-3,9.17,1.610,BAYAN BAMBU BABET
 20.Feb.2023,GECE,A0009,KABARTMA EKOSE,26.75,5.700,BAYAN PATİK
 20.Feb.2023,GECE,A0036,3P-TENİS HAVLU,11.08,5.890,SOKET TENİS
 20.Feb.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,10.75,3.360,PATİK
 20.Feb.2023,GECE,A0011,KALPLI   BABET,24.08,4.280,ÇETİK
