Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 27.Jan.2023,GÜNDÜZ,A0001,KISAKONC,9.75,2.950,KISA KONÇ
 27.Jan.2023,GECE,A0020,CODE 3P.XX SHORT,17.42,4.760,PATİK
 27.Jan.2023,GÜNDÜZ,A0019,KISAKONC,9.92,2.910,KISA KONÇ
 27.Jan.2023,GECE,A0011,2023-2,14.25,3.080,SNİCKERS
 27.Jan.2023,GECE,A0017,BAYAN KÜÇÜK NOKTA,3.00,0.000,BAYAN PATİK
 27.Jan.2023,GÜNDÜZ,A0028,KISAKONC,9.92,3.170,KISA KONÇ
 27.Jan.2023,GECE,A0008,2023-2,14.67,3.080,SNİCKERS
 27.Jan.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,13.33,4.160,PATİK
 27.Jan.2023,GÜNDÜZ,A0014,KISAKONC,9.50,3.300,KISA KONÇ
 27.Jan.2023,GÜNDÜZ,A0007,2023-2,9.17,1.920,SNİCKERS
 27.Jan.2023,GÜNDÜZ,A0033,2023-3,8.08,1.470,BAYAN BAMBU BABET
 27.Jan.2023,GECE,A0026,BAYAN KÜÇÜK NOKTA,5.00,0.000,BAYAN PATİK
 27.Jan.2023,GECE,A0016,KISAKONC,14.67,5.190,KISA KONÇ
 27.Jan.2023,GECE,A0021,KISAKONC,16.50,5.010,KISA KONÇ
 27.Jan.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,8.92,2.480,PATİK
 27.Jan.2023,GECE,A0027,KISAKONC,16.67,5.200,KISA KONÇ
 27.Jan.2023,GECE,A0028,KISAKONC,15.08,4.800,KISA KONÇ
 27.Jan.2023,GECE,A0017,BAYAN YILDIZ KABARTMA ,14.00,0.000,BAYAN PATİK
 27.Jan.2023,GECE,A0010,KISAKONC,15.58,4.480,KISA KONÇ
 27.Jan.2023,GÜNDÜZ,A0017,BAYAN KÜÇÜK NOKTA,12.00,0.000,BAYAN PATİK
 27.Jan.2023,GÜNDÜZ,A0018,BAYAN KÜÇÜK NOKTA,24.00,0.000,BAYAN PATİK
 27.Jan.2023,GECE,A0022,2023-2,15.08,3.450,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,15.08,5.160,PATİK
 26.Jan.2023,GÜNDÜZ,A0002,ÇİÇEKLI,2.00,0.670,BAYAN SOKET
 26.Jan.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,15.75,4.350,PATİK
 26.Jan.2023,GÜNDÜZ,A0030,KISAKONC,9.00,2.820,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0016,KISAKONC,6.92,2.440,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,16.92,5.270,PATİK
 26.Jan.2023,GÜNDÜZ,A0024,2023-3,9.50,1.670,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0010,KISAKONC,4.33,1.300,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0030,KISAKONC,15.83,4.940,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0015,KISAKONC,6.42,2.280,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0004,KISAKONC,6.42,2.180,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0031,2023-3,14.17,2.500,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0004,KISAKONC,14.33,5.140,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,11.50,3.140,PATİK
 26.Jan.2023,GÜNDÜZ,A0010,KISAKONC,15.00,4.550,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0007,2023-2,14.33,3.110,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0033,2023-3,8.75,1.590,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,13.75,4.250,PATİK
 26.Jan.2023,GÜNDÜZ,A0022,2023-2,14.67,3.380,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,1.67,0.860,SOKET TENİS
 26.Jan.2023,GÜNDÜZ,A0006,CARERA PATİK,11.00,0.000,ERKEK PATİK
 26.Jan.2023,GÜNDÜZ,A0015,KISAKONC,14.42,5.150,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0027,KISAKONC,9.00,2.880,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,10.33,3.430,PATİK
 26.Jan.2023,GÜNDÜZ,A0021,KISAKONC,8.42,4.860,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0019,KISAKONC,10.92,3.200,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0011,2023-2,3.75,0.850,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0017,BAYAN KÜÇÜK NOKTA,13.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0009,KISAKONC,15.00,4.570,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0031,2023-3,9.50,1.680,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0034,CARERA PATİK,12.00,0.000,ERKEK PATİK
 26.Jan.2023,GÜNDÜZ,A0024,2023-3,13.92,2.470,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0034,CARERA PATİK,16.00,0.000,ERKEK PATİK
 26.Jan.2023,GÜNDÜZ,A0022,2023-2,10.00,2.320,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0029,CODE 3P.XX SHORT,14.25,3.800,PATİK
 26.Jan.2023,GÜNDÜZ,A0029,KISAKONC,16.25,4.960,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0027,KISAKONC,15.25,4.890,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0025,KISAKONC,13.83,5.000,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0008,2023-2,15.75,3.320,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0036,CODE 3P.XX SHORT,16.92,5.220,PATİK
 26.Jan.2023,GÜNDÜZ,A0028,KISAKONC,15.08,4.900,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0017,BAYAN KÜÇÜK NOKTA,18.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0002,ÇEMBERLI,10.00,3.360,BAYAN SOKET
 26.Jan.2023,GÜNDÜZ,A0028,KISAKONC,8.92,2.850,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0006,CARERA PATİK,15.00,0.000,ERKEK PATİK
 26.Jan.2023,GÜNDÜZ,A0021,KISAKONC,3.75,1.130,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0007,2023-2,10.25,2.150,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0012,CODE 3P.XX SHORT,9.92,2.930,PATİK
 26.Jan.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,11.25,3.500,PATİK
 26.Jan.2023,GÜNDÜZ,A0029,KISAKONC,3.67,1.120,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0019,KISAKONC,16.17,4.750,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0026,BAYAN KÜÇÜK NOKTA,10.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0032,HAVLU TENIS,3.17,1.950,BAYAN ERKEK HAVLU
 26.Jan.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,16.67,4.540,PATİK
 26.Jan.2023,GÜNDÜZ,A0018,BAYAN KÜÇÜK NOKTA,14.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0008,2023-2,29.75,6.310,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0023,2023-2,15.08,3.550,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0018,BAYAN KÜÇÜK NOKTA,5.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0025,KISAKONC,9.42,3.410,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0009,KISAKONC,3.67,1.080,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0012,CODE 3P.XX SHORT,10.75,3.200,PATİK
 26.Jan.2023,GÜNDÜZ,A0009,CODE 3P.XX SHORT,13.17,3.450,PATİK
 26.Jan.2023,GÜNDÜZ,A0016,KISAKONC,14.83,5.260,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,15.50,4.310,PATİK
 26.Jan.2023,GÜNDÜZ,A0014,KISAKONC,5.58,1.970,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0023,2023-2,10.00,2.390,SNİCKERS
 26.Jan.2023,GÜNDÜZ,A0001,KISAKONC,15.92,4.690,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0001,KISAKONC,10.75,3.060,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,22.08,11.190,SOKET TENİS
 26.Jan.2023,GÜNDÜZ,A0002,ÇİÇEKLI,8.00,2.730,BAYAN SOKET
 26.Jan.2023,GÜNDÜZ,A0026,BAYAN KÜÇÜK NOKTA,17.00,0.000,BAYAN PATİK
 26.Jan.2023,GÜNDÜZ,A0014,KISAKONC,14.00,4.950,KISA KONÇ
 26.Jan.2023,GÜNDÜZ,A0033,2023-3,13.83,2.530,BAYAN BAMBU BABET
 26.Jan.2023,GÜNDÜZ,A0036,CODE 3P.XX SHORT,11.25,3.520,PATİK
 25.Jan.2023,GECE,A0010,CODE 3P.XX SHORT,16.58,4.400,PATİK
 25.Jan.2023,GÜNDÜZ,A0022,2023-2,10.25,2.340,SNİCKERS
 25.Jan.2023,GÜNDÜZ,A0023,2023-2,15.25,3.600,SNİCKERS
 25.Jan.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,11.42,2.970,PATİK
 25.Jan.2023,GECE,A0008,2023-2,14.25,2.970,SNİCKERS
 25.Jan.2023,GECE,A0003,CODE 3P.XX SHORT,15.25,4.280,PATİK
 25.Jan.2023,GECE,A0026,BAYAN KÜÇÜK NOKTA,19.00,0.000,BAYAN PATİK
 25.Jan.2023,GECE,A0032,HAVLU TENIS,4.17,2.970,BAYAN ERKEK HAVLU
 25.Jan.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,10.67,3.320,PATİK
 25.Jan.2023,GECE,A0017,BAYAN SIMLI KARELI  PATIK,2.00,0.000,BAYAN PATİK
 25.Jan.2023,GECE,A0027,CODE 3P.XX SHORT,15.75,4.420,PATİK
 25.Jan.2023,GÜNDÜZ,A0009,CODE 3P.XX SHORT,11.50,2.980,PATİK
 25.Jan.2023,GÜNDÜZ,A0006,CARERA PATİK,11.00,0.000,ERKEK PATİK
 25.Jan.2023,GÜNDÜZ,A0029,CODE 3P.XX SHORT,11.17,3.030,PATİK
 25.Jan.2023,GÜNDÜZ,A0004,CODE 3P.XX SHORT,13.50,4.150,PATİK
 25.Jan.2023,GECE,A0019,KISAKONC,15.67,4.530,KISA KONÇ
 25.Jan.2023,GÜNDÜZ,A0017,BAYAN SIMLI KARELI  PATIK,13.00,0.000,BAYAN PATİK
 25.Jan.2023,GÜNDÜZ,A0034,CARERA PATİK,10.00,0.000,ERKEK PATİK
 25.Jan.2023,GECE,A0020,CODE 3P.XX SHORT,16.17,4.410,PATİK
 25.Jan.2023,GECE,A0006,CARERA PATİK,15.00,0.000,ERKEK PATİK
 25.Jan.2023,GÜNDÜZ,A0027,CODE 3P.XX SHORT,11.33,3.120,PATİK
 25.Jan.2023,GECE,A0001,KISAKONC,7.50,2.280,KISA KONÇ
 25.Jan.2023,GÜNDÜZ,A0019,KISAKONC,11.58,3.280,KISA KONÇ
 25.Jan.2023,GÜNDÜZ,A0036,CODE 3P.XX SHORT,9.58,3.000,PATİK
 25.Jan.2023,GECE,A0002,ÇİÇEKLI,12.00,4.040,BAYAN SOKET
 25.Jan.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,10.83,3.330,PATİK
 25.Jan.2023,GECE,A0009,CODE 3P.XX SHORT,16.33,4.290,PATİK
 25.Jan.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,11.25,3.070,PATİK
 25.Jan.2023,GECE,A0015,CODE 3P.XX SHORT,15.00,4.540,PATİK
 25.Jan.2023,GECE,A0017,BAYAN KÜÇÜK NOKTA,16.00,0.000,BAYAN PATİK
 25.Jan.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,7.50,2.460,PATİK
 25.Jan.2023,GÜNDÜZ,A0030,CODE 3P.XX SHORT,10.17,2.760,PATİK
 25.Jan.2023,GECE,A0014,CODE 3P.XX SHORT,14.00,4.310,PATİK
 25.Jan.2023,GECE,A0033,2023-3,10.33,1.890,BAYAN BAMBU BABET
 25.Jan.2023,GÜNDÜZ,A0007,2023-2,10.17,2.150,SNİCKERS
 25.Jan.2023,GECE,A0004,CODE 3P.XX SHORT,15.50,4.810,PATİK
 25.Jan.2023,GECE,A0029,CODE 3P.XX SHORT,17.08,4.560,PATİK
 25.Jan.2023,GÜNDÜZ,A0002,ÇİÇEKLI,9.92,3.390,BAYAN SOKET
 25.Jan.2023,GECE,A0036,CODE 3P.XX SHORT,16.67,5.160,PATİK
 25.Jan.2023,GECE,A0021,CODE 3P.XX SHORT,16.75,4.440,PATİK
 25.Jan.2023,GECE,A0022,2023-2,14.83,3.410,SNİCKERS
 25.Jan.2023,GECE,A0034,CARERA PATİK,14.00,0.000,ERKEK PATİK
 25.Jan.2023,GÜNDÜZ,A0018,BAYAN KÜÇÜK NOKTA,26.00,0.000,BAYAN PATİK
 25.Jan.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,10.75,3.380,PATİK
 25.Jan.2023,GÜNDÜZ,A0033,2023-3,8.00,1.450,BAYAN BAMBU BABET
 25.Jan.2023,GECE,A0013,CODE 3P.XX SHORT,14.50,4.960,PATİK
 25.Jan.2023,GÜNDÜZ,A0032,HAVLU TENIS,4.00,2.800,BAYAN ERKEK HAVLU
 25.Jan.2023,GÜNDÜZ,A0021,CODE 3P.XX SHORT,11.67,3.060,PATİK
 25.Jan.2023,GÜNDÜZ,A0012,CODE 3P.XX SHORT,9.50,2.840,PATİK
 25.Jan.2023,GÜNDÜZ,A0011,2023-2,9.50,2.090,SNİCKERS
 25.Jan.2023,GECE,A0031,2023-3,13.50,2.390,BAYAN BAMBU BABET
 25.Jan.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,12.33,3.880,PATİK
 25.Jan.2023,GECE,A0011,2023-2,14.33,3.250,SNİCKERS
 25.Jan.2023,GECE,A0025,KISAKONC,13.92,5.100,KISA KONÇ
 25.Jan.2023,GÜNDÜZ,A0031,2023-3,9.50,1.680,BAYAN BAMBU BABET
 25.Jan.2023,GECE,A0032,HAVLU TENIS,6.00,3.610,BAYAN ERKEK HAVLU
 25.Jan.2023,GECE,A0007,2023-2,13.92,3.000,SNİCKERS
 25.Jan.2023,GÜNDÜZ,A0028,CODE 3P.XX SHORT,10.83,3.040,PATİK
 25.Jan.2023,GÜNDÜZ,A0008,2023-2,10.08,2.080,SNİCKERS
 25.Jan.2023,GECE,A0035,CODE 3P.XX SHORT,16.75,5.240,PATİK
 25.Jan.2023,GÜNDÜZ,A0024,2023-3,18.42,3.250,BAYAN BAMBU BABET
 25.Jan.2023,GECE,A0024,2023-3,17.92,3.140,BAYAN BAMBU BABET
 25.Jan.2023,GÜNDÜZ,A0001,KISAKONC,10.00,2.990,KISA KONÇ
 25.Jan.2023,GECE,A0001,KISAKONC,8.08,2.290,KISA KONÇ
 25.Jan.2023,GECE,A0023,2023-2,14.50,3.450,SNİCKERS
 25.Jan.2023,GÜNDÜZ,A0025,KISAKONC,6.17,2.250,KISA KONÇ
 25.Jan.2023,GECE,A0028,CODE 3P.XX SHORT,15.42,4.290,PATİK
 25.Jan.2023,GECE,A0016,CODE 3P.XX SHORT,14.92,4.730,PATİK
 25.Jan.2023,GÜNDÜZ,A0032,HAVLU TENIS,2.25,1.510,BAYAN ERKEK HAVLU
 25.Jan.2023,GECE,A0012,CODE 3P.XX SHORT,16.50,4.970,PATİK
 25.Jan.2023,GÜNDÜZ,A0026,BAYAN KÜÇÜK NOKTA,0.08,0.000,BAYAN PATİK
 25.Jan.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.58,2.990,PATİK
 25.Jan.2023,GECE,A0018,BAYAN KÜÇÜK NOKTA,17.00,0.000,BAYAN PATİK
 25.Jan.2023,GECE,A0030,CODE 3P.XX SHORT,15.33,4.210,PATİK
 24.Jan.2023,GÜNDÜZ,A0022,2023-2,10.17,2.330,SNİCKERS
 24.Jan.2023,GECE,A0001,KISAKONC,17.75,5.000,KISA KONÇ
 24.Jan.2023,GECE,A0023,2023-2,14.67,3.510,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0008,2023-2,10.08,2.030,SNİCKERS
 24.Jan.2023,GECE,A0004,CODE 3P.XX SHORT,14.83,4.600,PATİK
 24.Jan.2023,GECE,A0014,CODE 3P.XX SHORT,14.83,4.550,PATİK
 24.Jan.2023,GECE,A0035,CODE 3P.XX SHORT,15.58,4.780,PATİK
 24.Jan.2023,GECE,A0036,BRETTY KARAKTER,11.50,4.770,BAYAN SOKET
 24.Jan.2023,GECE,A0016,CODE 3P.XX SHORT,15.00,4.610,PATİK
 24.Jan.2023,GECE,A0003,CODE 3P.XX SHORT,14.50,4.070,PATİK
 24.Jan.2023,GÜNDÜZ,A0036,BRETTY KARAKTER,7.50,3.050,BAYAN SOKET
 24.Jan.2023,GÜNDÜZ,A0023,2023-2,10.50,2.480,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0028,CODE 3P.XX SHORT,10.42,2.820,PATİK
 24.Jan.2023,GÜNDÜZ,A0002,ÇİÇEKLI,8.33,2.790,BAYAN SOKET
 24.Jan.2023,GECE,A0010,CODE 3P.XX SHORT,16.50,4.310,PATİK
 24.Jan.2023,GECE,A0033,2023-3,12.17,2.190,BAYAN BAMBU BABET
 24.Jan.2023,GECE,A0008,2023-2,14.75,3.020,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,0.08,2.940,PATİK
 24.Jan.2023,GÜNDÜZ,A0025,CODE 3P.XX SHORT,10.50,3.260,PATİK
 24.Jan.2023,GÜNDÜZ,A0005,2023-2,9.83,2.280,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0011,2023-2,9.67,2.130,SNİCKERS
 24.Jan.2023,GECE,A0028,CODE 3P.XX SHORT,15.50,4.270,PATİK
 24.Jan.2023,GECE,A0006,CARERA PATİK,15.00,0.000,ERKEK PATİK
 24.Jan.2023,GECE,A0018,BAYAN SIMLI KARELI  PATIK,5.00,0.000,BAYAN PATİK
 24.Jan.2023,GECE,A0019,KISAKONC,13.83,4.180,KISA KONÇ
 24.Jan.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,11.08,3.300,PATİK
 24.Jan.2023,GÜNDÜZ,A0009,CODE 3P.XX SHORT,11.33,2.920,PATİK
 24.Jan.2023,GECE,A0031,2023-3,13.67,2.420,BAYAN BAMBU BABET
 24.Jan.2023,GECE,A0020,CODE 3P.XX SHORT,16.58,4.560,PATİK
 24.Jan.2023,GÜNDÜZ,A0006,CARERA PATİK,8.00,0.000,ERKEK PATİK
 24.Jan.2023,GÜNDÜZ,A0004,CODE 3P.XX SHORT,10.58,3.330,PATİK
 24.Jan.2023,GÜNDÜZ,A0033,2023-3,12.08,2.220,BAYAN BAMBU BABET
 24.Jan.2023,GÜNDÜZ,A0007,2023-2,9.67,2.070,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0019,KISAKONC,11.33,3.220,KISA KONÇ
 24.Jan.2023,GECE,A0002,ÇİÇEKLI,10.33,3.640,BAYAN SOKET
 24.Jan.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,10.58,3.290,PATİK
 24.Jan.2023,GECE,A0021,CODE 3P.XX SHORT,16.92,4.400,PATİK
 24.Jan.2023,GECE,A0017,BAYAN SIMLI KARELI  PATIK,17.00,0.000,BAYAN PATİK
 24.Jan.2023,GECE,A0013,CODE 3P.XX SHORT,14.75,4.660,PATİK
 24.Jan.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,10.75,3.260,PATİK
 24.Jan.2023,GÜNDÜZ,A0034,CARERA PATİK,11.00,0.000,ERKEK PATİK
 24.Jan.2023,GECE,A0007,2023-2,14.75,3.180,SNİCKERS
 24.Jan.2023,GECE,A0009,CODE 3P.XX SHORT,16.58,4.360,PATİK
 24.Jan.2023,GÜNDÜZ,A0018,BAYAN SIMLI KARELI  PATIK,14.00,0.000,BAYAN PATİK
 24.Jan.2023,GÜNDÜZ,A0001,KISAKONC,11.08,3.160,KISA KONÇ
 24.Jan.2023,GÜNDÜZ,A0017,BAYAN SIMLI KARELI  PATIK,13.00,0.000,BAYAN PATİK
 24.Jan.2023,GECE,A0029,CODE 3P.XX SHORT,16.17,4.300,PATİK
 24.Jan.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,10.75,3.220,PATİK
 24.Jan.2023,GÜNDÜZ,A0032,HAVLU TENIS,12.33,8.000,BAYAN ERKEK HAVLU
 24.Jan.2023,GECE,A0012,BRETTY KARAKTER,4.17,1.710,BAYAN SOKET
 24.Jan.2023,GECE,A0015,CODE 3P.XX SHORT,15.50,4.930,PATİK
 24.Jan.2023,GECE,A0025,CODE 3P.XX SHORT,15.75,4.930,PATİK
 24.Jan.2023,GÜNDÜZ,A0030,CODE 3P.XX SHORT,10.33,2.790,PATİK
 24.Jan.2023,GECE,A0030,CODE 3P.XX SHORT,15.75,4.300,PATİK
 24.Jan.2023,GECE,A0034,CARERA PATİK,15.00,0.000,ERKEK PATİK
 24.Jan.2023,GECE,A0005,2023-2,14.50,3.360,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0012,BRETTY KARAKTER,7.75,3.220,BAYAN SOKET
 24.Jan.2023,GÜNDÜZ,A0021,CODE 3P.XX SHORT,11.67,3.070,PATİK
 24.Jan.2023,GÜNDÜZ,A0029,CODE 3P.XX SHORT,9.42,2.480,PATİK
 24.Jan.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,11.25,2.930,PATİK
 24.Jan.2023,GECE,A0027,CODE 3P.XX SHORT,15.67,4.240,PATİK
 24.Jan.2023,GECE,A0022,2023-2,14.83,3.420,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0032,CODE 3P.XX SHORT,2.08,0.640,PATİK
 24.Jan.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,10.92,3.020,PATİK
 24.Jan.2023,GECE,A0024,2023-2,18.00,3.150,SNİCKERS
 24.Jan.2023,GÜNDÜZ,A0027,CODE 3P.XX SHORT,11.25,3.060,PATİK
 24.Jan.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.83,2.970,PATİK
 24.Jan.2023,GÜNDÜZ,A0031,2023-3,8.75,1.540,BAYAN BAMBU BABET
 24.Jan.2023,GECE,A0011,2023-2,14.75,3.250,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0023,2023-2,10.67,2.540,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,11.58,3.650,PATİK
 23.Jan.2023,GÜNDÜZ,A0017,BAYAN SIMLI KARELI  PATIK,11.00,0.000,BAYAN PATİK
 23.Jan.2023,GÜNDÜZ,A0033,2023-3,5.67,1.040,BAYAN BAMBU BABET
 23.Jan.2023,GECE,A0018,BAYAN SIMLI KARELI  PATIK,18.00,0.000,BAYAN PATİK
 23.Jan.2023,GÜNDÜZ,A0007,2023-2,10.58,2.290,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,10.58,3.340,PATİK
 23.Jan.2023,GECE,A0014,CODE 3P.XX SHORT,14.75,4.550,PATİK
 23.Jan.2023,GECE,A0025,CODE 3P.XX SHORT,15.67,4.930,PATİK
 23.Jan.2023,GÜNDÜZ,A0024,2023-2,10.58,2.400,SNİCKERS
 23.Jan.2023,GECE,A0027,CODE 3P.XX SHORT,17.00,4.640,PATİK
 23.Jan.2023,GÜNDÜZ,A0036,BRETTY KARAKTER,25.67,10.620,BAYAN SOKET
 23.Jan.2023,GÜNDÜZ,A0012,BRETTY KARAKTER,22.08,9.000,BAYAN SOKET
 23.Jan.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,15.67,4.280,PATİK
 23.Jan.2023,GÜNDÜZ,A0034,CARERA PATİK,10.00,0.000,ERKEK PATİK
 23.Jan.2023,GECE,A0001,KISAKONC,14.83,4.330,KISA KONÇ
 23.Jan.2023,GÜNDÜZ,A0004,CODE 3P.XX SHORT,11.58,3.570,PATİK
 23.Jan.2023,GÜNDÜZ,A0031,2023-3,7.17,1.270,BAYAN BAMBU BABET
 23.Jan.2023,GECE,A0013,CODE 3P.XX SHORT,14.33,4.620,PATİK
 23.Jan.2023,GÜNDÜZ,A0008,2023-2,11.00,2.330,SNİCKERS
 23.Jan.2023,GECE,A0006,CARERA PATİK,10.00,0.000,ERKEK PATİK
 23.Jan.2023,GECE,A0030,CODE 3P.XX SHORT,15.42,4.220,PATİK
 23.Jan.2023,GECE,A0015,CODE 3P.XX SHORT,13.00,4.040,PATİK
 23.Jan.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,12.50,3.200,PATİK
 23.Jan.2023,GECE,A0021,CODE 3P.XX SHORT,17.42,4.460,PATİK
 23.Jan.2023,GECE,A0009,CODE 3P.XX SHORT,16.83,4.310,PATİK
 23.Jan.2023,GECE,A0029,CODE 3P.XX SHORT,16.58,4.340,PATİK
 23.Jan.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,11.08,3.610,PATİK
 23.Jan.2023,GECE,A0036,BRETTY KARAKTER,11.25,4.630,BAYAN SOKET
 23.Jan.2023,GECE,A0031,2023-3,13.50,2.380,BAYAN BAMBU BABET
 23.Jan.2023,GÜNDÜZ,A0005,2023-2,10.83,2.510,SNİCKERS
 23.Jan.2023,GECE,A0008,2023-2,14.17,2.920,SNİCKERS
 23.Jan.2023,GECE,A0035,CODE 3P.XX SHORT,15.50,4.870,PATİK
 23.Jan.2023,GÜNDÜZ,A0019,KISAKONC,11.83,3.390,KISA KONÇ
 23.Jan.2023,GÜNDÜZ,A0032,CODE 3P.XX SHORT,11.58,3.580,PATİK
 23.Jan.2023,GECE,A0022,2023-2,15.17,3.460,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0009,CODE 3P.XX SHORT,12.42,3.200,PATİK
 23.Jan.2023,GECE,A0032,CODE 3P.XX SHORT,15.83,4.970,PATİK
 23.Jan.2023,GÜNDÜZ,A0022,2023-2,10.67,2.490,SNİCKERS
 23.Jan.2023,GECE,A0033,2023-3,11.92,2.100,BAYAN BAMBU BABET
 23.Jan.2023,GECE,A0024,2023-2,14.00,3.150,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0027,CODE 3P.XX SHORT,12.33,3.390,PATİK
 23.Jan.2023,GECE,A0017,BAYAN SIMLI KARELI  PATIK,17.00,0.000,BAYAN PATİK
 23.Jan.2023,GECE,A0028,CODE 3P.XX SHORT,15.67,4.320,PATİK
 23.Jan.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,10.92,3.340,PATİK
 23.Jan.2023,GECE,A0023,2023-2,14.92,3.490,SNİCKERS
 23.Jan.2023,GECE,A0011,2023-2,14.00,3.250,SNİCKERS
 23.Jan.2023,GÜNDÜZ,A0030,CODE 3P.XX SHORT,11.67,3.220,PATİK
 23.Jan.2023,GECE,A0010,CODE 3P.XX SHORT,16.08,4.180,PATİK
