Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 13.Feb.2023,GECE,A0024,12.67,2.150,ÇETİK,DALMACYA  BABET
 04.Jan.2023,GECE,A0031,15.67,2.750,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 16.Jan.2023,GECE,A0014,15.25,5.500,BAYAN SOKET,2023-1
 25.Jan.2023,GECE,A0033,10.33,1.890,BAYAN BAMBU BABET,2023-3
 20.Feb.2023,GECE,A0011,24.08,4.280,ÇETİK,KALPLI   BABET
 01.Feb.2023,GÜNDÜZ,A0022,10.17,2.330,SNİCKERS,2023-2
 29.Jan.2023,GECE,A0018,9.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 31.Jan.2023,GECE,A0003,15.25,4.180,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GECE,A0008,5.83,1.050,ÇETİK,KAMUFLAJ  BABET
 11.Jan.2023,GECE,A0031,13.75,2.590,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 05.Jan.2023,GÜNDÜZ,A0006,10.00,0.000,ERKEK PATİK,CARERA PATİK
 03.Jan.2023,GÜNDÜZ,A0015,10.00,3.480,BAYAN SOKET,2023-1
 27.Jan.2023,GÜNDÜZ,A0027,10.25,3.240,KISA KONÇ,KISAKONC
 27.Jan.2023,GÜNDÜZ,A0004,8.92,3.130,KISA KONÇ,KISAKONC
 23.Jan.2023,GECE,A0035,15.50,4.870,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GÜNDÜZ,A0021,10.17,3.040,BAYAN PATİK,KISAKONC SİM ÇEMBER
 18.Jan.2023,GÜNDÜZ,A0009,11.67,2.850,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GECE,A0036,14.00,4.870,BAYAN SOKET,2023-1
 14.Feb.2023,GECE,A0027,12.00,4.290,BAYAN SOKET,PUNALI SOKET
 31.Jan.2023,GECE,A0036,11.42,5.380,SOKET TENİS,SÜPERCITY TENIS
 13.Feb.2023,GECE,A0031,6.92,1.200,ÇETİK,BUYUK  YILDIZ BABET
 08.Feb.2023,GECE,A0027,11.83,4.320,BAYAN SOKET,PUNALI SOKET
 23.Jan.2023,GECE,A0008,14.17,2.920,SNİCKERS,2023-2
 12.Jan.2023,GÜNDÜZ,A0003,8.42,2.860,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 06.Feb.2023,GÜNDÜZ,A0011,9.58,1.620,BAYAN BAMBU BABET,2023-3
 17.Feb.2023,GÜNDÜZ,A0025,6.00,0.000,ERKEK PATİK,CARERA PATİK
 30.Jan.2023,GECE,A0032,3.17,1.980,BAYAN ERKEK HAVLU,HAVLU TENIS
 27.Jan.2023,GECE,A0024,12.92,2.300,BAYAN BAMBU BABET,2023-3
 27.Jan.2023,GÜNDÜZ,A0025,9.00,3.170,KISA KONÇ,KISAKONC
 09.Feb.2023,GÜNDÜZ,A0020,20.08,7.340,BAYAN SOKET,CEMBERLI SOKET
 14.Feb.2023,GÜNDÜZ,A0005,8.17,4.850,SOKET TENİS,3P-TENİS HAVLU
 02.Jan.2023,GECE,A0009,12.83,4.520,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 13.Jan.2023,GECE,A0004,14.92,3.560,SNİCKERS,2023-2
 16.Jan.2023,GÜNDÜZ,A0025,7.83,2.420,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GÜNDÜZ,A0012,11.17,3.380,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GECE,A0003,12.00,4.120,BAYAN SOKET,RIB ANKLE PURPLE
 22.Feb.2023,GÜNDÜZ,A0021,10.67,0.000,BAYAN PATİK,BEKLETME DESEN
 17.Feb.2023,GECE,A0003,15.92,4.410,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0014,11.83,4.570,BAYAN SOKET,DALLI   PAPTYA
 30.Jan.2023,GÜNDÜZ,A0024,9.50,1.690,BAYAN BAMBU BABET,2023-3
 02.Feb.2023,GÜNDÜZ,A0029,8.58,2.910,BAYAN SOKET,WHITE HEEL TOE ANKLE
 07.Jan.2023,GECE,A0008,19.08,7.970,BAYAN SOKET,DENIZ MAHSULLERİ
 05.Jan.2023,GECE,A0012,16.92,5.050,KISA KONÇ,BRK-2
 16.Feb.2023,GÜNDÜZ,A0010,5.08,1.270,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0020,11.50,3.230,PATİK,CODE 3P.XX SHORT
 26.Jan.2023,GÜNDÜZ,A0017,13.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 14.Feb.2023,GÜNDÜZ,A0015,10.92,3.420,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0029,4.75,1.290,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GÜNDÜZ,A0016,9.25,3.260,KISA KONÇ,KISAKONC
 05.Feb.2023,GECE,A0009,28.33,6.350,BAYAN PATİK,D
 17.Feb.2023,GÜNDÜZ,A0035,10.25,3.230,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GÜNDÜZ,A0035,10.83,3.310,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0003,15.08,5.200,BAYAN SOKET,RIB ANKLE PURPLE
 05.Feb.2023,GECE,A0030,21.83,6.980,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,A0015,8.92,3.140,KISA KONÇ,KISAKONC
 22.Feb.2023,GECE,A0014,16.08,3.760,BAYAN PATİK,WOMEN SCRET
 12.Feb.2023,GECE,A0036,17.58,10.630,SOKET TENİS,3P-TENİS HAVLU
 06.Jan.2023,GÜNDÜZ,A0007,7.17,2.920,BAYAN SOKET,DENIZ MAHSULLERİ
 03.Jan.2023,GÜNDÜZ,A0031,9.75,1.850,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 14.Feb.2023,GÜNDÜZ,A0026,11.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 26.Jan.2023,GÜNDÜZ,A0011,3.75,0.850,SNİCKERS,2023-2
 07.Jan.2023,GECE,A0033,20.00,8.170,BAYAN SOKET,DENIZ MAHSULLERİ
 12.Jan.2023,GÜNDÜZ,A0020,8.25,2.910,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 15.Jan.2023,GÜNDÜZ,A0028,22.92,7.380,BAYAN SOKET,MANTAR DESEN
 17.Jan.2023,GECE,A0007,12.50,2.690,SNİCKERS,2023-2
 26.Jan.2023,GÜNDÜZ,A0019,10.92,3.200,KISA KONÇ,KISAKONC
 01.Feb.2023,GECE,A0033,13.58,2.570,BAYAN BAMBU BABET,2023-3
 09.Feb.2023,GÜNDÜZ,A0027,6.92,2.480,BAYAN SOKET,PUNALI SOKET
 01.Feb.2023,GECE,A0032,5.17,2.980,BAYAN ERKEK HAVLU,HAVLU TENIS
 01.Feb.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 25.Jan.2023,GECE,A0014,14.00,4.310,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GÜNDÜZ,A0015,10.75,3.360,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0036,11.08,5.890,SOKET TENİS,3P-TENİS HAVLU
 05.Jan.2023,GECE,A0022,13.50,4.530,BAYAN SOKET,2023-1
 16.Jan.2023,GECE,A0020,8.58,2.970,BAYAN SOKET,RIB ANKLE PURPLE
 04.Jan.2023,GECE,A0009,33.25,12.560,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 02.Feb.2023,GÜNDÜZ,A0001,8.00,2.660,BAYAN SOKET,WHITE HEEL TOE ANKLE
 21.Feb.2023,GECE,A0012,16.42,5.070,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GECE,A0016,16.17,5.020,PATİK,CODE 3P.XX SHORT
 08.Jan.2023,GÜNDÜZ,A0008,17.42,7.270,BAYAN SOKET,DENIZ MAHSULLERİ
 11.Jan.2023,GÜNDÜZ,A0003,8.08,2.740,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 01.Feb.2023,GECE,A0001,12.25,4.270,BAYAN SOKET,WHITE HEEL TOE ANKLE
 27.Jan.2023,GECE,A0013,14.17,4.960,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GÜNDÜZ,A0022,10.50,2.390,SNİCKERS,2023-2
 22.Feb.2023,GECE,A0026,3.00,0.000,BAYAN PATİK,KOPEK PATİK
 25.Jan.2023,GÜNDÜZ,A0030,10.17,2.760,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GECE,A0001,16.58,3.910,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 09.Feb.2023,GECE,A0007,14.00,2.390,ÇETİK,CEMBERLI BABET
 06.Feb.2023,GÜNDÜZ,A0024,9.58,1.720,ÇETİK,NOKTALI  BABET
 18.Jan.2023,GECE,A0015,4.17,0.000,BAYAN SOKET,2023-1
 09.Feb.2023,GECE,A0003,15.58,4.350,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GÜNDÜZ,A0007,6.83,1.130,BAYAN BAMBU BABET,2023-3
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 19.Jan.2023,GECE,A0003,11.75,4.030,BAYAN SOKET,RIB ANKLE PURPLE
 03.Feb.2023,GECE,A0016,15.25,5.390,KISA KONÇ,KISAKONC
 20.Feb.2023,GECE,A0009,26.75,5.700,BAYAN PATİK,KABARTMA EKOSE
 07.Feb.2023,GECE,A0005,11.67,6.820,SOKET TENİS,3P-TENİS HAVLU
 27.Jan.2023,GECE,A0031,13.75,2.450,BAYAN BAMBU BABET,2023-3
 14.Feb.2023,GÜNDÜZ,A0014,10.42,3.210,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0015,9.58,3.300,KISA KONÇ,KISAKONC
 07.Jan.2023,GECE,A0032,21.58,8.490,BAYAN SOKET,DALSIZ PAPTYA
 08.Feb.2023,GÜNDÜZ,A0031,9.50,1.630,ÇETİK,BUYUK  YILDIZ BABET
 17.Jan.2023,GECE,A0020,11.58,4.100,BAYAN SOKET,RIB ANKLE PURPLE
 03.Jan.2023,GÜNDÜZ,A0003,8.00,2.820,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 02.Jan.2023,GECE,A0029,11.58,4.580,BAYAN SOKET,FLORAL ANKLE
 24.Jan.2023,GÜNDÜZ,A0014,10.75,3.260,PATİK,CODE 3P.XX SHORT
 06.Feb.2023,GÜNDÜZ,A0012,10.25,3.500,KISA KONÇ,KISAKONC
 17.Feb.2023,GÜNDÜZ,A0020,8.50,3.110,BAYAN SOKET,CEMBERLI SOKET
 18.Jan.2023,GECE,A0020,5.08,1.800,BAYAN SOKET,RIB ANKLE PURPLE
 10.Jan.2023,GÜNDÜZ,A0031,9.17,1.740,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 10.Jan.2023,GÜNDÜZ,A0036,10.25,3.520,BAYAN SOKET,2023-1
 24.Jan.2023,GECE,A0013,14.75,4.660,PATİK,CODE 3P.XX SHORT
 12.Jan.2023,GECE,A0022,12.33,2.890,SNİCKERS,2023-2
 20.Feb.2023,GÜNDÜZ,A0024,9.17,1.610,BAYAN BAMBU BABET,2023-3
 15.Feb.2023,GECE,A0005,19.25,11.330,SOKET TENİS,3P-TENİS HAVLU
 14.Feb.2023,GÜNDÜZ,A0013,10.50,3.330,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GÜNDÜZ,A0030,8.50,3.000,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 25.Jan.2023,GÜNDÜZ,A0013,7.50,2.460,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GECE,A0004,12.08,4.650,BAYAN SOKET,TEK  PAPTYA
 21.Feb.2023,GÜNDÜZ,A0001,8.50,2.850,BAYAN SOKET,KALPLI SOKET
 04.Jan.2023,GECE,A0015,23.25,8.230,BAYAN SOKET,2023-1
 16.Jan.2023,GECE,A0021,17.58,4.310,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GECE,A0035,11.00,0.000,BAYAN SOKET,TEK ARI
 23.Jan.2023,GÜNDÜZ,A0005,10.83,2.510,SNİCKERS,2023-2
 12.Jan.2023,GÜNDÜZ,A0010,8.67,2.900,BAYAN SOKET,DALMACYA RENKLI
 05.Feb.2023,GECE,A0004,3.75,1.350,KISA KONÇ,KISAKONC
 17.Feb.2023,GECE,A0033,0.17,0.000,ÇETİK,ZIGZAG   BABET
 14.Feb.2023,GECE,A0022,13.83,3.000,SNİCKERS,2023-2
 12.Feb.2023,GECE,A0007,23.00,4.020,ÇETİK,CEMBERLI BABET
 22.Feb.2023,GÜNDÜZ,A0018,5.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 05.Jan.2023,GECE,A0015,13.25,4.640,BAYAN SOKET,2023-1
 20.Feb.2023,GECE,A0006,13.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 25.Jan.2023,GECE,A0017,16.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 30.Jan.2023,GÜNDÜZ,A0001,13.92,4.250,KISA KONÇ,KISAKONC
 05.Jan.2023,GÜNDÜZ,A0029,6.50,2.600,BAYAN SOKET,FLORAL ANKLE
 14.Feb.2023,GECE,A0028,12.33,4.290,BAYAN SOKET,PUNALI SOKET
 09.Feb.2023,GÜNDÜZ,A0009,10.92,2.270,BAYAN PATİK,D
 17.Feb.2023,GECE,A0012,16.42,4.970,PATİK,CODE 3P.XX SHORT
 06.Feb.2023,GECE,A0007,14.50,2.470,ÇETİK,CEMBERLI BABET
 13.Feb.2023,GECE,A0003,16.17,4.460,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GÜNDÜZ,A0007,9.17,3.720,BAYAN SOKET,DENIZ MAHSULLERİ
 05.Jan.2023,GECE,A0021,11.75,4.400,BAYAN SOKET,FLORAL ANKLE
 21.Feb.2023,GECE,A0001,12.75,4.290,BAYAN SOKET,KALPLI SOKET
 17.Jan.2023,GÜNDÜZ,A0016,10.58,3.670,BAYAN SOKET,2023-1
 08.Feb.2023,GÜNDÜZ,A0018,4.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 04.Jan.2023,GECE,A0002,30.83,12.230,BAYAN SOKET,FLORAL ANKLE
 30.Jan.2023,GECE,A0031,13.92,2.460,BAYAN BAMBU BABET,2023-3
 11.Jan.2023,GECE,A0013,11.33,4.550,BAYAN SOKET,EKRU ÇOK ARI
 12.Jan.2023,GECE,A0024,13.58,3.050,SNİCKERS,2023-2
 31.Jan.2023,GÜNDÜZ,A0004,10.25,3.650,KISA KONÇ,KISAKONC
 05.Jan.2023,GECE,A0003,11.50,4.050,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 22.Jan.2023,GECE,A0002,12.92,5.100,BAYAN SOKET,FLORAL ANKLE
 10.Jan.2023,GÜNDÜZ,A0005,8.17,3.150,BAYAN SOKET,MAVI COKLU ARI
 12.Jan.2023,GECE,A0019,9.67,3.460,BAYAN SOKET,RIB ANKLE PURPLE
 29.Jan.2023,GECE,A0017,30.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 21.Feb.2023,GECE,A0004,10.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 04.Jan.2023,GECE,A0017,43.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 05.Jan.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 19.Jan.2023,GÜNDÜZ,A0019,8.17,2.830,BAYAN SOKET,RIB ANKLE PURPLE
 13.Feb.2023,GÜNDÜZ,A0021,4.17,1.250,BAYAN PATİK,KISAKONC SİM ÇEMBER
 10.Jan.2023,GECE,A0012,14.33,5.050,BAYAN SOKET,2023-1
 26.Jan.2023,GÜNDÜZ,A0021,8.42,4.860,KISA KONÇ,KISAKONC
 07.Feb.2023,GECE,A0027,15.67,5.550,BAYAN SOKET,PUNALI SOKET
 09.Feb.2023,GECE,A0005,11.25,6.600,SOKET TENİS,3P-TENİS HAVLU
 29.Jan.2023,GECE,A0016,24.58,8.690,KISA KONÇ,KISAKONC
 11.Jan.2023,GÜNDÜZ,A0012,5.42,1.800,BAYAN SOKET,2023-1
 14.Feb.2023,GECE,A0013,15.42,4.950,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GÜNDÜZ,A0014,8.17,3.130,BAYAN SOKET,DALLI   PAPTYA
 29.Jan.2023,GECE,A0032,6.92,4.110,SOKET TENİS,3P-TENİS HAVLU
 19.Jan.2023,GECE,A0008,14.92,3.040,SNİCKERS,2023-2
 03.Jan.2023,GÜNDÜZ,A0012,8.25,3.110,BAYAN SOKET,3 LU DERBI CEMBERLI 
 26.Jan.2023,GÜNDÜZ,A0013,10.33,3.430,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GÜNDÜZ,A0020,7.25,2.560,BAYAN SOKET,RIB ANKLE PURPLE
 29.Jan.2023,GECE,A0011,20.25,3.450,BAYAN BAMBU BABET,2023-3
 21.Feb.2023,GÜNDÜZ,A0025,10.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 18.Jan.2023,GECE,A0023,11.00,2.620,SNİCKERS,2023-2
 27.Jan.2023,GECE,A0030,15.42,4.800,KISA KONÇ,KISAKONC
 03.Feb.2023,GECE,A0026,11.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 10.Jan.2023,GECE,A0002,11.67,4.570,BAYAN SOKET,FLORAL ANKLE
 16.Jan.2023,GECE,A0001,10.17,2.710,BAYAN SOKET,EDGE FRIIL
 07.Feb.2023,GÜNDÜZ,A0031,6.75,1.120,ÇETİK,BUYUK  YILDIZ BABET
 23.Jan.2023,GECE,A0031,13.50,2.380,BAYAN BAMBU BABET,2023-3
 21.Feb.2023,GÜNDÜZ,A0027,3.50,1.210,BAYAN SOKET,PUNALI SOKET
 20.Feb.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 17.Feb.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 12.Jan.2023,GECE,A0009,13.42,3.200,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 12.Feb.2023,GECE,A0023,16.67,3.560,SNİCKERS,2023-2
 10.Jan.2023,GÜNDÜZ,A0032,8.08,3.100,BAYAN SOKET,DALSIZ PAPTYA
 18.Jan.2023,GECE,A0014,15.33,5.490,BAYAN SOKET,2023-1
 10.Jan.2023,GÜNDÜZ,A0002,8.08,3.110,BAYAN SOKET,FLORAL ANKLE
 13.Feb.2023,GÜNDÜZ,A0006,12.00,0.000,ERKEK PATİK,CARERA PATİK
 02.Feb.2023,GECE,A0003,15.42,4.310,PATİK,CODE 3P.XX SHORT
 15.Feb.2023,GECE,A0035,23.33,7.200,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GECE,A0022,14.00,3.310,SNİCKERS,2023-2
 16.Jan.2023,GÜNDÜZ,A0030,11.42,2.620,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 26.Jan.2023,GÜNDÜZ,A0027,9.00,2.880,KISA KONÇ,KISAKONC
 20.Feb.2023,GECE,A0008,20.75,10.800,SOKET TENİS,3P-TENİS HAVLU
 14.Feb.2023,GÜNDÜZ,A0022,10.25,2.200,SNİCKERS,2023-2
 06.Feb.2023,GÜNDÜZ,A0036,3.17,1.480,SOKET TENİS,SÜPERCITY TENIS
 17.Feb.2023,GÜNDÜZ,A0030,8.42,3.030,BAYAN SOKET,KALPLI SOKET
 12.Feb.2023,GECE,A0005,17.92,10.600,SOKET TENİS,3P-TENİS HAVLU
 19.Jan.2023,GECE,A0023,14.67,3.500,SNİCKERS,2023-2
 31.Jan.2023,GÜNDÜZ,A0006,10.00,0.000,ERKEK PATİK,CARERA PATİK
 31.Jan.2023,GÜNDÜZ,A0019,10.33,2.240,BAYAN PATİK,BAYAN KONC SIMLI CEMBER
 05.Feb.2023,GECE,A0008,18.67,3.450,ÇETİK,KAMUFLAJ  BABET
 17.Feb.2023,GECE,A0014,16.25,5.120,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0019,29.00,5.980,BAYAN PATİK,CEMBERLI PATIK
 13.Feb.2023,GECE,A0021,20.33,3.980,BAYAN PATİK,KDK CEMBER
 10.Jan.2023,GECE,A0021,12.17,4.540,BAYAN SOKET,FLORAL ANKLE
 19.Jan.2023,GÜNDÜZ,A0002,1.33,0.500,BAYAN SOKET,FLORAL ANKLE
 12.Jan.2023,GÜNDÜZ,A0008,8.00,3.300,BAYAN SOKET,DENIZ MAHSULLERİ
 25.Jan.2023,GECE,A0015,15.00,4.540,PATİK,CODE 3P.XX SHORT
 08.Feb.2023,GECE,A0025,2.50,0.770,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GÜNDÜZ,A0011,9.17,1.570,ÇETİK,KALPLI   BABET
 11.Jan.2023,GÜNDÜZ,A0028,6.67,2.110,BAYAN SOKET,MANTAR DESEN
 20.Feb.2023,GECE,A0027,12.17,4.300,BAYAN SOKET,PUNALI SOKET
 06.Feb.2023,GÜNDÜZ,A0034,9.00,0.000,ERKEK PATİK,CARERA PATİK
 12.Feb.2023,GECE,A0022,24.75,5.400,SNİCKERS,2023-2
 20.Jan.2023,GECE,A0034,11.00,0.000,ERKEK PATİK,CARERA PATİK
 22.Feb.2023,GECE,A0006,12.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 20.Feb.2023,GECE,A0007,11.25,1.870,BAYAN BAMBU BABET,2023-3
 18.Jan.2023,GECE,A0011,14.42,3.370,SNİCKERS,2023-2
 20.Feb.2023,GÜNDÜZ,A0001,3.00,0.000,BAYAN SOKET,KALPLI SOKET
 09.Feb.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 22.Feb.2023,GECE,A0034,1.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 03.Feb.2023,GÜNDÜZ,A0003,9.17,2.560,PATİK,CODE 3P.XX SHORT
 19.Jan.2023,GECE,A0022,14.92,3.460,SNİCKERS,2023-2
 25.Jan.2023,GÜNDÜZ,A0020,11.25,3.070,PATİK,CODE 3P.XX SHORT
 08.Feb.2023,GECE,A0013,15.58,4.810,PATİK,CODE 3P.XX SHORT
 21.Feb.2023,GECE,A0034,6.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 08.Jan.2023,GÜNDÜZ,A0028,20.17,6.380,BAYAN SOKET,MANTAR DESEN
 29.Jan.2023,GECE,A0028,27.42,8.650,KISA KONÇ,KISAKONC
 08.Jan.2023,GÜNDÜZ,A0025,14.42,5.630,BAYAN SOKET,TEK ARI
 02.Feb.2023,GECE,A0018,17.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 20.Jan.2023,GECE,A0021,16.67,4.320,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GECE,A0013,14.58,4.660,PATİK,CODE 3P.XX SHORT
 23.Jan.2023,GECE,A0036,11.25,4.630,BAYAN SOKET,BRETTY KARAKTER
 21.Feb.2023,GECE,A0033,8.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 26.Jan.2023,GÜNDÜZ,A0015,14.42,5.150,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,A0030,11.08,3.450,KISA KONÇ,KISAKONC
 17.Feb.2023,GECE,A0015,15.67,4.960,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GÜNDÜZ,A0007,1.00,0.000,ÇETİK,CEMBERLI BABET
 02.Feb.2023,GECE,A0004,14.83,5.290,KISA KONÇ,KISAKONC
 06.Feb.2023,GÜNDÜZ,A0016,10.17,3.630,KISA KONÇ,KISAKONC
 13.Jan.2023,GÜNDÜZ,A0025,7.17,2.750,BAYAN SOKET,EKRU ÇOK ARI
 18.Jan.2023,GECE,A0015,14.17,4.430,PATİK,CODE 3P.XX SHORT
 12.Feb.2023,GECE,A0003,24.58,6.800,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GÜNDÜZ,A0002,8.17,2.950,BAYAN SOKET,KALPLI SOKET
 09.Jan.2023,GECE,A0022,14.50,5.100,BAYAN SOKET,2023-1
 20.Feb.2023,GÜNDÜZ,A0013,10.25,3.210,PATİK,CODE 3P.XX SHORT
 29.Jan.2023,GECE,A0013,24.17,8.290,PATİK,CODE 3P.XX SHORT
 13.Feb.2023,GÜNDÜZ,A0001,9.75,3.400,BAYAN SOKET,KALPLI SOKET
 22.Feb.2023,GÜNDÜZ,A0025,9.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 10.Feb.2023,GECE,A0014,25.67,7.920,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GECE,A0033,13.92,2.490,ÇETİK,ZIGZAG   BABET
 24.Jan.2023,GECE,A0017,17.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 02.Jan.2023,GÜNDÜZ,A0016,13.25,3.890,KISA KONÇ,BRK-2
 18.Jan.2023,GÜNDÜZ,A0005,8.17,3.140,BAYAN SOKET,MAVI COKLU ARI
 06.Jan.2023,GECE,A0029,9.58,3.890,BAYAN SOKET,FLORAL ANKLE
 12.Jan.2023,GECE,A0008,12.17,4.900,BAYAN SOKET,DENIZ MAHSULLERİ
 25.Jan.2023,GECE,A0009,16.33,4.290,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0011,8.92,1.490,BAYAN BAMBU BABET,2023-3
 07.Feb.2023,GECE,A0026,18.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 23.Jan.2023,GÜNDÜZ,A0013,11.08,3.610,PATİK,CODE 3P.XX SHORT
 13.Feb.2023,GÜNDÜZ,A0017,13.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 06.Jan.2023,GECE,A0024,11.17,4.310,BAYAN SOKET,FLAMINGO SOKET
 15.Jan.2023,GÜNDÜZ,A0009,6.75,1.700,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GÜNDÜZ,A0036,6.67,3.100,BAYAN SOKET,KÜÇÜK  KALP
 18.Jan.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 06.Feb.2023,GECE,A0021,15.00,4.520,BAYAN PATİK,KISAKONC SİM ÇEMBER
 09.Jan.2023,GECE,A0027,12.92,4.060,BAYAN SOKET,MANTAR DESEN
 31.Jan.2023,GECE,A0007,16.00,2.710,ÇETİK,CEMBERLI BABET
 29.Jan.2023,GECE,A0008,24.50,5.150,SNİCKERS,2023-2
 30.Jan.2023,GÜNDÜZ,A0021,3.92,1.140,BAYAN PATİK,KISAKONC SİM ÇEMBER
 19.Jan.2023,GÜNDÜZ,A0030,11.75,3.060,PATİK,CODE 3P.XX SHORT
 06.Feb.2023,GECE,A0033,13.58,2.470,BAYAN BAMBU BABET,2023-3
 05.Jan.2023,GECE,A0009,12.33,4.550,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 22.Jan.2023,GECE,A0029,29.50,7.670,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GÜNDÜZ,A0011,9.67,3.190,BAYAN SOKET,2023-1
 12.Jan.2023,GÜNDÜZ,A0030,10.75,2.450,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 22.Jan.2023,GECE,A0009,5.00,1.220,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0008,11.50,2.120,ÇETİK,KAMUFLAJ  BABET
 11.Jan.2023,GÜNDÜZ,A0036,7.33,2.490,BAYAN SOKET,2023-1
