Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 24.Jan.2023,GÜNDÜZ,A0003,10.83,2.970,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GÜNDÜZ,A0010,7.08,2.380,BAYAN SOKET,WHITE HEEL TOE ANKLE
 06.Jan.2023,GÜNDÜZ,A0009,7.92,2.870,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 07.Jan.2023,GECE,A0023,26.08,9.580,BAYAN SOKET,2023-1
 07.Feb.2023,GÜNDÜZ,A0026,5.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 09.Jan.2023,GECE,A0035,11.92,4.720,BAYAN SOKET,TEK ARI
 27.Jan.2023,GECE,A0028,15.08,4.800,KISA KONÇ,KISAKONC
 11.Jan.2023,GECE,A0024,11.25,2.530,SNİCKERS,2023-2
 10.Jan.2023,GECE,A0036,16.67,5.360,BAYAN SOKET,2023-1
 20.Feb.2023,GECE,A0027,20.75,7.530,BAYAN SOKET,PUNALI SOKET
 11.Jan.2023,GECE,A0021,12.08,4.360,BAYAN SOKET,FLORAL ANKLE
 18.Jan.2023,GECE,A0027,16.42,4.270,PATİK,CODE 3P.XX SHORT
 13.Jan.2023,GÜNDÜZ,A0030,9.50,2.230,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 06.Feb.2023,GECE,A0034,15.00,0.000,ERKEK PATİK,CARERA PATİK
 02.Feb.2023,GECE,A0035,16.08,4.990,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0035,28.08,8.670,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0031,9.17,1.620,BAYAN BAMBU BABET,2023-3
 02.Jan.2023,GÜNDÜZ,A0001,9.58,3.590,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 20.Feb.2023,GECE,A0026,15.00,0.000,BAYAN PATİK,KOPEK PATİK
 05.Jan.2023,GÜNDÜZ,A0002,8.17,3.140,BAYAN SOKET,FLORAL ANKLE
 03.Jan.2023,GÜNDÜZ,A0011,11.08,3.410,KISA KONÇ,BRK-2
 30.Jan.2023,GECE,A0014,14.25,5.080,KISA KONÇ,KISAKONC
 22.Jan.2023,GECE,A0023,23.75,5.640,SNİCKERS,2023-2
 13.Feb.2023,GÜNDÜZ,A0036,9.25,5.520,SOKET TENİS,3P-TENİS HAVLU
 20.Feb.2023,GECE,A0009,16.00,3.560,BAYAN PATİK,KABARTMA EKOSE
 03.Feb.2023,GECE,A0021,14.75,4.100,BAYAN PATİK,KISAKONC SİM ÇEMBER
 09.Jan.2023,GECE,A0024,11.92,4.590,BAYAN SOKET,FLAMINGO SOKET
 06.Jan.2023,GÜNDÜZ,A0012,10.67,3.230,KISA KONÇ,BRK-2
 31.Jan.2023,GECE,A0008,14.67,2.700,ÇETİK,KAMUFLAJ  BABET
 01.Feb.2023,GECE,A0004,14.92,5.260,KISA KONÇ,KISAKONC
 03.Jan.2023,GÜNDÜZ,A0001,8.58,3.130,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 02.Feb.2023,GECE,A0025,15.08,5.410,KISA KONÇ,KISAKONC
 07.Feb.2023,GÜNDÜZ,A0014,10.08,3.570,KISA KONÇ,KISAKONC
 27.Jan.2023,GECE,A0027,16.67,5.200,KISA KONÇ,KISAKONC
 13.Feb.2023,GÜNDÜZ,A0020,10.17,3.690,BAYAN SOKET,CEMBERLI SOKET
 05.Feb.2023,GECE,A0017,29.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 03.Jan.2023,GÜNDÜZ,A0016,10.17,3.010,KISA KONÇ,BRK-2
 22.Jan.2023,GECE,A0016,25.67,8.070,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GÜNDÜZ,A0029,10.50,3.230,KISA KONÇ,KISAKONC
 25.Jan.2023,GÜNDÜZ,A0026,0.08,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 23.Jan.2023,GECE,A0019,16.17,4.660,KISA KONÇ,KISAKONC
 14.Feb.2023,GÜNDÜZ,A0017,7.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 15.Jan.2023,GÜNDÜZ,A0009,19.25,4.570,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 25.Jan.2023,GECE,A0012,16.50,4.970,PATİK,CODE 3P.XX SHORT
 08.Jan.2023,GÜNDÜZ,A0014,9.67,3.690,BAYAN SOKET,DALLI   PAPTYA
 03.Feb.2023,GECE,A0011,13.75,2.330,BAYAN BAMBU BABET,2023-3
 03.Feb.2023,GÜNDÜZ,A0026,9.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 17.Feb.2023,GÜNDÜZ,A0036,6.42,3.420,SOKET TENİS,3P-TENİS HAVLU
 07.Jan.2023,GECE,A0007,8.92,3.570,BAYAN SOKET,DENIZ MAHSULLERİ
 06.Jan.2023,GECE,A0001,11.75,4.410,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 05.Feb.2023,GECE,A0011,20.50,3.510,BAYAN BAMBU BABET,2023-3
 17.Feb.2023,GÜNDÜZ,A0029,7.92,2.900,BAYAN SOKET,PUNALI SOKET
 23.Jan.2023,GÜNDÜZ,A0020,12.00,3.350,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0020,19.92,7.070,BAYAN SOKET,RIB ANKLE PURPLE
 05.Jan.2023,GÜNDÜZ,A0035,7.67,3.110,BAYAN SOKET,TEK ARI
 14.Feb.2023,GECE,A0016,15.75,4.950,PATİK,CODE 3P.XX SHORT
 06.Jan.2023,GECE,A0032,7.08,2.790,BAYAN SOKET,DALSIZ PAPTYA
 20.Jan.2023,GÜNDÜZ,A0021,10.58,2.700,PATİK,CODE 3P.XX SHORT
 24.Jan.2023,GÜNDÜZ,A0027,11.25,3.060,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GÜNDÜZ,A0013,9.75,3.120,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0026,9.00,0.000,BAYAN PATİK,KOPEK PATİK
 27.Jan.2023,GÜNDÜZ,A0020,8.92,2.480,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GÜNDÜZ,A0006,10.00,0.000,ERKEK PATİK,CARERA PATİK
 29.Jan.2023,GECE,A0012,26.00,8.110,PATİK,CODE 3P.XX SHORT
 08.Jan.2023,GÜNDÜZ,A0009,6.33,2.310,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 08.Feb.2023,GÜNDÜZ,A0033,9.25,1.600,ÇETİK,KÜÇÜK YILDIZ BABET
